from_max_extension,OKC_extension_only_Diff_z,OKC_flexion_only_Diff_z,OKC_extension_only_Diff_z_2,OKC_flexion_only_Diff_z_2,OKC_extension_only_Diff_z_3,OKC_flexion_only_Diff_z_3,OKC_extension_only_Diff_z_avg,OKC_flexion_only_Diff_z_avg,OKC_extension_only_minus_Sensor1_z_plus_Sensor2_z,OKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z,OKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_2,OKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_2,OKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_3,OKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_3,OKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_avg,OKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_avg,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_2,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_2,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_3,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_3,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_avg,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_avg,CKC_extension_only_Diff_z,CKC_flexion_only_Diff_z,CKC_extension_only_Diff_z_2,CKC_flexion_only_Diff_z_2,CKC_extension_only_Diff_z_3,CKC_flexion_only_Diff_z_3,CKC_extension_only_Diff_z_avg,CKC_flexion_only_Diff_z_avg,CKC_extension_only_minus_Sensor1_z_plus_Sensor2_z,CKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z,CKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_2,CKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_2,CKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_3,CKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_3,CKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_avg,CKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_avg,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_2,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_2,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_3,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_3,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_avg,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_avg
0,2.6604567596725377,2.6962241497130686,1.4060148699997927,1.7131904701635503,1.5739423757501192,1.2644303122007319,2.6604567596725377,2.6962241497130686,-0.43264097630130455,-0.39151909349572844,-1.7141569088117588,-1.4268815124574274,-1.7181750814911783,-2.0151879579204777,-0.43264097630130455,-0.39151909349572844,0.43264097630130455,0.39151909349572844,1.7141569088117588,1.4268815124574274,1.7181750814911783,2.0151879579204777,0.43264097630130455,0.39151909349572844,-6.361941382727624,-6.168842528776849,-8.000985308124145,-7.84601100658287,-9.007588859968594,-9.235953592596132,-8.000985308124145,-7.84601100658287,-6.069013508973849,-5.918186682264516,-7.964519532233179,-7.807774929300611,-8.864660698007265,-9.103849010974608,-7.964519532233179,-7.807774929300611,6.069013508973849,5.918186682264516,7.964519532233179,7.807774929300611,8.864660698007265,9.103849010974608,7.964519532233179,7.807774929300611
1,3.579683899333691,2.9887231777220227,1.7649548244655522,1.5875328937979825,2.3236728663403974,1.920201936972722,2.186547048361201,1.9887813200287683,0.3250386097514886,-0.27461328294354226,-1.4696529892325616,-1.6711270891346792,-1.1125910228799039,-1.4731937259387429,-1.035764460183816,-1.2388942511071492,-0.3250386097514886,0.27461328294354226,1.4696529892325616,1.6711270891346792,1.1125910228799039,1.4731937259387429,1.035764460183816,1.2388942511071492,-6.47200930137294,-5.593250134209531,-7.737622212890397,-7.754786002564802,-8.794635293950607,-8.298185205575264,-8.372605536429496,-8.495369797580468,-6.112941194329823,-5.33356648093564,-7.663806355069937,-7.712440797991513,-8.570376298846009,-8.112894776968009,-8.2642335265386,-8.408144904483061,6.112941194329823,5.33356648093564,7.663806355069937,7.712440797991513,8.570376298846009,8.112894776968009,8.2642335265386,8.408144904483061
2,4.28013116272719,2.9544955082121356,2.235001685324099,1.552668637283821,2.46100360386736,2.5006951259182584,2.789586284511046,2.154076779660947,0.8307578732387295,-0.5458028215766434,-1.202653420290433,-1.954592622153624,-1.2041425437277977,-1.1639870149445826,-0.5838287129579119,-1.2300412122166886,-0.8307578732387295,0.5458028215766434,1.202653420290433,1.954592622153624,1.2041425437277977,1.1639870149445826,0.5838287129579119,1.2300412122166886,-6.36085772799488,-5.505758144183541,-7.520780514907369,-6.831496292411574,-9.040453073801208,-8.759676969195867,-8.157707904428989,-7.564840748993419,-6.002709607008795,-5.230100004867749,-7.377079264982705,-6.7870021899121955,-8.70660096801913,-8.485275886256543,-7.9737277819143575,-7.449948483440102,6.002709607008795,5.230100004867749,7.377079264982705,6.7870021899121955,8.70660096801913,8.485275886256543,7.9737277819143575,7.449948483440102
3,4.296532535719256,3.1874113328693996,2.4324793200404162,1.844677214972093,2.2617636615481924,2.4670297531104928,2.9975126083035715,2.413591698690493,0.6188073226459373,-0.5661679003594433,-1.2153089145312603,-1.864031437336461,-1.6536056928889467,-1.4243262862331554,-0.5959962137907645,-1.22824917915255,-0.6188073226459373,0.5661679003594433,1.2153089145312603,1.864031437336461,1.6536056928889467,1.4243262862331554,0.5959962137907645,1.22824917915255,-6.242898170200225,-5.348448453590537,-7.501831429110299,-6.2038560892980446,-9.355665774186695,-9.780659213012164,-8.271142251455753,-7.481766529246956,-5.863231543913519,-5.050690432330923,-7.285411482852646,-6.162050788997622,-8.904985250040218,-9.438234842983102,-7.996006225435888,-7.3236633376270825,5.863231543913519,5.050690432330923,7.285411482852646,6.162050788997622,8.904985250040218,9.438234842983102,7.996006225435888,7.3236633376270825
4,4.03034299766508,3.386956144512938,2.480060359860194,2.0491036896025916,1.9743089548956594,2.6302628809183304,2.9081953264178964,2.5662210375318413,0.13814855348181107,-0.5942737430563699,-1.373470510174091,-1.8553704140350227,-2.1777612565909776,-1.4740165041036295,-0.9102553513127987,-1.294210488875329,-0.13814855348181107,0.5942737430563699,1.373470510174091,1.8553704140350227,2.1777612565909776,1.4740165041036295,0.9102553513127987,1.294210488875329,-6.486792464983326,-4.873767382292444,-7.662862173751407,-5.592782465655453,-9.303613218231902,-9.770363948232806,-8.509263973969052,-7.686720839333809,-6.0634327580491405,-4.545321498368463,-7.3615894135743645,-5.555973477550478,-8.749315519865167,-9.356727508142173,-8.133287331807292,-7.49710416026679,6.0634327580491405,4.545321498368463,7.3615894135743645,5.555973477550478,8.749315519865167,9.356727508142173,8.133287331807292,7.49710416026679
5,3.6859585996965305,3.329135781442594,2.481725513681477,2.1164846421000747,1.8044713985779162,2.8097807573537685,2.713442638150795,2.669500783987839,-0.41346983591335884,-0.8589235504876296,-1.5701886919972006,-1.9696080223092238,-2.5818134070627172,-1.4770470187044789,-1.3215672008928092,-1.396103489542094,0.41346983591335884,0.8589235504876296,1.5701886919972006,1.9696080223092238,2.5818134070627172,1.4770470187044789,1.3215672008928092,1.396103489542094,-6.040535307483349,-4.452812952659249,-7.79982884839311,-5.152129561632937,-8.884771413895391,-9.397554420739102,-7.821794483117546,-7.030445346214197,-5.557757344243,-4.0917257345683264,-7.411445458619774,-5.10162027613464,-8.227717803498658,-8.915188339840855,-7.4099248291529305,-6.792178155513777,5.557757344243,4.0917257345683264,7.411445458619774,5.10162027613464,8.227717803498658,8.915188339840855,7.4099248291529305,6.792178155513777
6,3.4052190013097303,3.2184297939219655,2.4708143728544893,2.0871396715806787,1.8271518945813559,2.8586234035219644,2.563805304523041,2.714898397791936,-0.9168021054542684,-1.184720526169413,-1.7704903878361928,-2.1935191418886006,-2.7697666534557204,-1.6005380304759704,-1.6896014015047287,-1.5437918557277053,0.9168021054542684,1.184720526169413,1.7704903878361928,2.1935191418886006,2.7697666534557204,1.6005380304759704,1.6896014015047287,1.5437918557277053,-6.989551723899945,-4.3215314620957805,-7.948525851624321,-4.776470261280946,-8.187681293495741,-9.0485943641814,-7.768435522297551,-6.58909160540986,-6.1294654804759805,-3.932149515520997,-7.466900662747873,-4.693336227646767,-7.43683423977487,-8.493198851646657,-7.269186553525451,-6.314030349474421,6.1294654804759805,3.932149515520997,7.466900662747873,4.693336227646767,7.43683423977487,8.493198851646657,7.269186553525451,6.314030349474421
7,3.276876565094474,3.1509007107569063,2.4236737228445175,1.9850885157096732,2.033527636822534,2.7075029169439473,2.5249476108434394,2.69888792861985,-1.2194994460232107,-1.4804577973429662,-1.9807530150021457,-2.52257371934617,-2.776363795556089,-1.9583013346556535,-1.9199188291050413,-1.7581716565691792,1.2194994460232107,1.4804577973429662,1.9807530150021457,2.52257371934617,2.776363795556089,1.9583013346556535,1.9199188291050413,1.7581716565691792,-6.816581754202349,-4.392531338802351,-7.842299449740423,-4.6226776834988526,-7.5318001746574925,-8.750602111005009,-7.463612823743681,-6.392343397287931,-5.8670876021621705,-3.9838465951099593,-7.275469674586003,-4.505586362668299,-6.706881138528647,-8.115918370737198,-6.905004507123223,-6.076295073060901,5.8670876021621705,3.9838465951099593,7.275469674586003,4.505586362668299,6.706881138528647,8.115918370737198,6.905004507123223,6.076295073060901
8,3.257026559111079,3.1566146669050013,2.3173143418497157,1.9469535041434145,2.387876209605183,2.6017935377726333,2.5714093062593766,2.616402033186207,-1.4287225228291474,-1.6800244393297763,-2.256772124819795,-2.7607835157608265,-2.634734275028716,-2.2676052691606987,-2.0619464444624604,-2.0536331644438666,1.4287225228291474,1.6800244393297763,2.256772124819795,2.7607835157608265,2.634734275028716,2.2676052691606987,2.0619464444624604,2.0536331644438666,-6.475631943132311,-4.53228394669827,-7.609559675299423,-4.569863850772784,-7.018511999663076,-8.401323547256913,-7.128086006719047,-6.222971471789442,-5.452517248114639,-4.114341156493715,-6.973139174467034,-4.417201180290813,-6.120873483602827,-7.701593271140024,-6.514417285636401,-5.861269994452978,5.452517248114639,4.114341156493715,6.973139174467034,4.417201180290813,6.120873483602827,7.701593271140024,6.514417285636401,5.861269994452978
9,3.319056535888412,3.206916424956617,2.1393816662123033,2.0088261124431086,2.819954746560542,2.6682244132931485,2.674749029114437,2.5852211556242217,-1.563367506993114,-1.7922382234156995,-2.6160933604101047,-2.845606823305705,-2.407024738769295,-2.3731429581556354,-2.151624635613875,-2.273542336112408,1.563367506993114,1.7922382234156995,2.6160933604101047,2.845606823305705,2.407024738769295,2.3731429581556354,2.151624635613875,2.273542336112408,-5.958223103358509,-4.709909676616541,-7.355571265760242,-4.658936036442163,-6.759496352505683,-7.978737342958922,-6.953625243468881,-5.978008988663841,-4.877837648362857,-4.306485453212021,-6.64694219532865,-4.475097905838823,-5.79829527181565,-7.221158948467751,-6.277082812326872,-5.574004225115771,4.877837648362857,4.306485453212021,6.64694219532865,4.475097905838823,5.79829527181565,7.221158948467751,6.277082812326872,5.574004225115771
