Degrees_x,timestamp_avg,Sensor1_x_avg,Sensor1_y_avg,Sensor1_z_avg,Sensor2_x_avg,Sensor2_y_avg,Sensor2_z_avg,Diff_x_avg,Diff_y_avg,Diff_z_avg,Diff_inv_x_avg,Diff_inv_y_avg,Diff_inv_z_avg
-120,,,,,,,,,,,,,
-119,,,,,,,,,,,,,
-118,,,,,,,,,,,,,
-117,,,,,,,,,,,,,
-116,,,,,,,,,,,,,
-115,,,,,,,,,,,,,
-114,,,,,,,,,,,,,
-113,,,,,,,,,,,,,
-112,,,,,,,,,,,,,
-111,,,,,,,,,,,,,
-110,,,,,,,,,,,,,
-109,,,,,,,,,,,,,
-108,,,,,,,,,,,,,
-107,,,,,,,,,,,,,
-106,,,,,,,,,,,,,
-105,,,,,,,,,,,,,
-104,,,,,,,,,,,,,
-103,,,,,,,,,,,,,
-102,,,,,,,,,,,,,
-101,,,,,,,,,,,,,
-100,,,,,,,,,,,,,
-99,,,,,,,,,,,,,
-98,,,,,,,,,,,,,
-97,,,,,,,,,,,,,
-96,,,,,,,,,,,,,
-95,,,,,,,,,,,,,
-94,,,,,,,,,,,,,
-93,,,,,,,,,,,,,
-92,,,,,,,,,,,,,
-91,,,,,,,,,,,,,
-90,,,,,,,,,,,,,
-89,,,,,,,,,,,,,
-88,,,,,,,,,,,,,
-87,,,,,,,,,,,,,
-86,,,,,,,,,,,,,
-85,,,,,,,,,,,,,
-84,,,,,,,,,,,,,
-83,,,,,,,,,,,,,
-82,,,,,,,,,,,,,
-81,,,,,,,,,,,,,
-80,,,,,,,,,,,,,
-79,,,,,,,,,,,,,
-78,,,,,,,,,,,,,
-77,,,,,,,,,,,,,
-76,,,,,,,,,,,,,
-75,,,,,,,,,,,,,
-74,,,,,,,,,,,,,
-73,2238.0,9.783629159895117,12.022769255418646,-9.881632023259186,86.74631929202586,22.410474269388374,-2.43495230171146,-73.0,-5.569105311071108,6.841287563916652,73.0,9.786867304005673,-11.850240516616582
-72,2289.74358974359,10.2622113289947,12.112998675501899,-10.154742641310316,86.07398417110869,22.804464813354382,-2.1185963684620344,-72.0,-6.339896624868336,6.7670390535174105,72.07692307692308,9.71744368937035,-11.28591033937348
-71,2307.829268292683,10.715625961455203,12.203512634607884,-9.702967722987458,86.13818151662832,22.640904154510082,-2.763123027377562,-71.0,-5.740627542251478,7.235159895795927,71.96341463414635,9.90110834569835,-12.064334049598987
-70,2364.0,7.965852505670945,11.115981154622228,-12.013927048422227,81.47062616324276,23.33014272414105,-1.8209458558713738,-70.0,-8.58787171998231,5.047312702994744,70.33333333333333,8.491563570315861,-8.889552582736524
-69,1963.25,8.510394887452652,11.776040113299555,-11.076023201947473,81.21790863187975,23.220590700647044,-2.0775980520031423,-69.0,-8.005598564775747,5.912742288694309,69.33333333333334,8.946681252693105,-9.882396974002878
-68,1993.4271844660193,8.865156223487052,11.79663338194872,-10.71310156930597,80.41764838559601,23.257798160976755,-2.847084091493234,-68.0,-7.723098669268804,6.468038953614659,68.19093851132686,9.17103970170189,-10.517663041395906
-67,2007.05,8.351583811397864,11.650869642817408,-11.413503764980597,78.96480560077507,23.88042632792686,-3.636026440160255,-67.0,-7.726102964788043,6.544752611985745,67.46666666666667,9.088854561107066,-10.67714382240396
-66,2026.5,7.963238496430657,11.532433367770128,-11.814634471724096,77.42038615571498,24.204218421756416,-4.629057056739762,-66.0,-7.5069202752439335,6.710828815430817,66.25,8.960550376798505,-11.105634455075172
-65,2029.75,7.869285427244995,11.53219214492007,-12.033784194453112,76.20016435029444,24.237286221490173,-5.079534782099532,-65.0,-7.566863297583316,6.597143323124863,65.41666666666666,8.680947884325718,-11.162062436540149
-64,2032.75,7.797915291657417,11.533174378574689,-12.072027626433801,75.0278053974817,24.241521161652404,-5.491651077042754,-64.0,-7.643786060739721,6.630224173832332,64.41666666666666,8.545362371314749,-11.257835229466085
-63,2035.25,7.771239444311012,11.548699635309678,-12.01698427615272,74.03970230844217,24.182769474076522,-5.887732887938791,-63.0,-7.640702700349302,6.712685648872525,63.41666666666667,8.443301900588887,-11.427080584199508
-62,1711.0,7.612482824595578,11.574351726372967,-12.084964122941997,72.71866184989099,24.130801165567153,-6.802483824341105,-62.0,-7.256016879007567,6.90498344583452,62.55555555555555,8.220362240264146,-12.01055120824448
-61,1713.1666666666667,7.65588138818861,11.640235399379284,-12.107948863145348,71.73081951681024,23.99259322645715,-7.164743484932299,-61.0,-7.236655217314456,6.836796549788189,61.5,7.948660247928831,-12.130147013632623
-60,1715.3333333333333,7.716051652023581,11.714216550628663,-12.119660147920612,70.73792110122338,23.855986239943277,-7.433065871401307,-60.0,-7.3018018458558736,6.739611961401146,60.55555555555555,7.685821398297431,-12.159425096479774
-59,1717.5,7.7714888550312,11.80050765412612,-12.126437287333834,69.73957846592135,23.726943793574645,-7.763364535472669,-59.0,-7.305399822694721,6.6890224546582155,59.5,7.431433881713727,-12.260885788816696
-58,1719.6666666666667,7.842516679686682,11.878100778411365,-12.090470731558986,68.74840132400838,23.576578842929,-8.160030889518831,-58.0,-7.253015090523218,6.701793631289814,58.44444444444445,7.198467485170593,-12.438740738133362
-57,1721.8333333333333,7.903983152207201,11.964397196104592,-12.01738968948844,67.76225426609635,23.381871658369363,-8.610858063276536,-57.0,-7.118692589295679,6.7522610382776485,57.5,6.9517307818935565,-12.700215588259184
-56,1724.0,7.963105346615087,12.040968874191869,-11.961029455808196,66.77592633957543,23.16461755009186,-9.10167087961167,-56.0,-6.9479671830260346,6.798860615552884,56.55555555555555,6.675855478097264,-12.984155795649494
-55,1726.3333333333333,8.006676552965397,12.14817483217314,-11.907402864094093,65.72005496044484,22.938882058536247,-9.572233563381216,-55.0,-6.784501825123655,6.831220537072582,55.55555555555555,6.37017482845518,-13.255365614069182
-54,1728.6666666666667,8.042141079204864,12.2326343325069,-11.853718157069125,64.6907301749214,22.72222352392377,-9.954343800957298,-54.0,-6.705969367122019,6.83200229864659,54.55555555555555,6.089632514398883,-13.428537999087643
-53,1730.8333333333333,8.066303212244373,12.3239704180964,-11.821151065980134,63.76751467180754,22.523341150449085,-10.28070198268101,-53.0,-6.6287992691112585,6.812706982332268,53.5,5.812759249893186,-13.572627803319316
-52,1733.1666666666667,8.07260906718413,12.386894294897365,-11.755382121176515,62.810154144910406,22.29699683079497,-10.655114644881687,-52.0,-6.528985897886048,6.837569924505882,52.75,5.551083154157691,-13.756813895307516
-51,1735.6666666666667,8.062745734838968,12.481661671708432,-11.632536734858022,61.72629603341812,22.03210988267871,-11.109238411174937,-51.0,-6.359495457887469,6.937896970198288,51.72222222222222,5.2748025543710995,-14.047778500823961
-50,1737.8333333333333,8.061656400356336,12.547082506721585,-11.569473025225188,60.783628942069406,21.773889886647453,-11.487801729538475,-50.0,-6.227445819780673,6.958352476832033,51.0,4.982679691791133,-14.242144504283404
-49,1740.1666666666667,8.047491803300375,12.62622281550856,-11.52980743807395,59.776792515124335,21.48768774809926,-11.885262546985567,-49.0,-6.071174992696897,6.951651799653635,49.888888888888886,4.6336515521195984,-14.4357598521321
-48,1742.6666666666667,8.037347968687731,12.72165290244728,-11.44927836944148,58.67789692267987,21.174589486097513,-12.2748709198859,-48.0,-5.92707259734221,6.9611126829495875,48.833333333333336,4.277754707248112,-14.631350269756702
-47,1745.0,8.035345727183973,12.816211544814811,-11.361183234032124,57.65157188482137,20.880672674649713,-12.641128495736071,-47.0,-5.7872454590466305,6.99279195635561,47.833333333333336,3.951448618650991,-14.826347621691044
