Degrees_x,timestamp_avg,Sensor1_x_avg,Sensor1_y_avg,Sensor1_z_avg,Sensor2_x_avg,Sensor2_y_avg,Sensor2_z_avg,Diff_x_avg,Diff_y_avg,Diff_z_avg,Diff_inv_x_avg,Diff_inv_y_avg,Diff_inv_z_avg
-120,,,,,,,,,,,,,
-119,,,,,,,,,,,,,
-118,,,,,,,,,,,,,
-117,,,,,,,,,,,,,
-116,,,,,,,,,,,,,
-115,,,,,,,,,,,,,
-114,,,,,,,,,,,,,
-113,,,,,,,,,,,,,
-112,,,,,,,,,,,,,
-111,,,,,,,,,,,,,
-110,,,,,,,,,,,,,
-109,,,,,,,,,,,,,
-108,,,,,,,,,,,,,
-107,,,,,,,,,,,,,
-106,,,,,,,,,,,,,
-105,,,,,,,,,,,,,
-104,,,,,,,,,,,,,
-103,,,,,,,,,,,,,
-102,,,,,,,,,,,,,
-101,,,,,,,,,,,,,
-100,,,,,,,,,,,,,
-99,,,,,,,,,,,,,
-98,,,,,,,,,,,,,
-97,,,,,,,,,,,,,
-96,,,,,,,,,,,,,
-95,,,,,,,,,,,,,
-94,,,,,,,,,,,,,
-93,,,,,,,,,,,,,
-92,,,,,,,,,,,,,
-91,,,,,,,,,,,,,
-90,,,,,,,,,,,,,
-89,,,,,,,,,,,,,
-88,,,,,,,,,,,,,
-87,,,,,,,,,,,,,
-86,,,,,,,,,,,,,
-85,,,,,,,,,,,,,
-84,,,,,,,,,,,,,
-83,,,,,,,,,,,,,
-82,,,,,,,,,,,,,
-81,,,,,,,,,,,,,
-80,,,,,,,,,,,,,
-79,,,,,,,,,,,,,
-78,-1494.5,19.854435346806945,-12.922137408613246,3.5610164357569936,93.37237792861058,-3.058524002708615,0.043927279587046016,-78.0,2.805821128274834,12.016077457610514,73.0,-2.759578503742775,-13.365884987886936
-77,-1500.0,20.431547827595317,-12.878418652451732,3.799236376301664,93.45514526523533,-2.7710669233704093,0.040796297149979024,-77.0,2.7837986437597624,11.966043209094146,72.77777777777777,-2.605881932521512,-13.391589203500963
-76,-1506.5,21.217581489609884,-12.79549647494478,4.172018050925318,92.9971725099352,-2.4178443056820367,0.2511401544281925,-76.0,3.009715281928913,11.90728448840607,71.75,-2.353716250203988,-13.208289240676644
-75,-1519.8333333333333,21.936544320937433,-12.66774727033196,4.317793385544662,92.44458554660825,-2.123702466070112,0.17005917963105324,-75.0,3.0096813611397217,11.774780776095723,70.33333333333333,-1.9520443964870242,-13.209365703270004
-74,-1551.5,22.261144515161178,-12.745732816948395,4.747765158162566,92.19642101642539,-2.0032514855719374,0.15961693887567188,-74.0,2.8994061041773875,12.084670983953396,69.984375,-2.0793281143084665,-13.436683164357962
-73,-1268.25,21.611691278908985,-12.908662153789514,4.370421924139666,90.41752189266757,-2.760974181442455,-0.7550422586779367,-73.0,2.2038962031425333,12.757023362884958,68.8375,-2.1417526673172373,-14.368719730287562
-72,-1286.7908163265306,21.703358328924022,-12.91436075873662,4.64554625926262,89.4468432254358,-2.800529789765753,-0.050517964581237224,-72.0,2.9144059967843097,12.782057499756469,67.60969387755102,-2.1820335490495673,-13.760934926106572
-71,-1308.4166666666667,21.613424711669815,-12.940687156395594,4.79759410751325,88.71797640697713,-2.8575243454394244,0.09196262508023496,-71.0,3.0684304705499263,12.918479328888079,67.0,-2.214779663479375,-13.69373098662146
-70,-1324.75,20.958618666597854,-13.163651954368582,4.57493051757609,86.90478664025392,-2.8410499526111144,-0.12554189602605154,-70.0,2.694926787600645,12.749996591549808,65.875,-1.6300508341047355,-14.005983179792686
-69,-1065.6666666666667,20.483892046624828,-13.030995033156815,3.923644663060917,85.29973124175284,-3.009077139178037,-0.43110493724945714,-69.0,2.677249904176063,12.366554656902656,65.0,-0.9902794615128249,-13.88743630253697
-68,-1067.5,20.347426643050238,-13.023287978751071,3.8588355436948536,84.34536441767348,-3.0624380222399297,-0.44374023683836805,-68.0,2.738473218651833,12.341608271199105,64.0,-0.7964620266298583,-13.835467581144217
-67,-1069.5,20.216530373054525,-13.013830068425746,3.7887281672951763,83.24242303043323,-3.092584460991143,-0.46293644885368473,-67.0,2.794637116775416,12.289987248433476,63.0,-0.5428327036996066,-13.774021895170817
-66,-1071.5,20.096041426404046,-13.00655865830894,3.723351993728078,82.06066031403107,-3.115217023700574,-0.4958202545295698,-66.0,2.837786002899687,12.2403915372508,62.0,-0.2661680710925603,-13.721133789190167
-65,-1073.3333333333333,20.004483400393713,-13.012246225284748,3.6661259742388026,80.95257246383066,-3.1585436239385576,-0.47033259843358827,-65.0,2.9282748112988934,12.188728843577714,61.166666666666664,-0.023708372055069687,-13.620355091376902
-64,-1074.8333333333333,19.946699962707992,-13.03182113220997,3.619994050225267,80.03557989610519,-3.198483102014089,-0.43469407148362454,-64.0,3.004876404650999,12.142394492353757,60.166666666666664,0.18094375354348055,-13.529261778830934
-63,-1076.5,19.88532014290618,-13.059030874263046,3.568999301769915,78.96442510934277,-3.2317686174521003,-0.4217915453155355,-63.0,3.0582298191107338,12.091032592794543,59.166666666666664,0.43411552700545114,-13.451940619853952
-62,-1078.3333333333333,19.815237541383528,-13.089982677726601,3.5184104177574143,77.7561798933467,-3.255054962622092,-0.4360408300432008,-62.0,3.0867399833163716,12.040915383457685,58.0,0.726284938733995,-13.3907058145136
-61,-1079.8333333333333,19.75728908048022,-13.116409754563078,3.494984730804744,76.75577226058418,-3.2509794405175847,-0.478548011127436,-61.0,3.0721998265704165,12.016618592162196,57.0,0.9734423261126022,-13.374782716262471
-60,-1081.3333333333333,19.696445162296737,-13.144934837431846,3.4730296837177015,75.7022960514307,-3.238627330523278,-0.542038332001698,-60.0,3.035068501938531,11.995344956424306,56.166666666666664,1.2410264496418086,-13.375976722321406
-59,-1083.0,19.623078071370834,-13.172910045872564,3.4488219912475273,74.52287136409154,-3.213748244932727,-0.6310169972371565,-59.0,2.977108872928422,11.974344632201332,55.166666666666664,1.546360434202499,-13.386686884444016
-58,-1084.3333333333333,19.56497271271786,-13.195384122766384,3.4292778814591336,73.57708593271671,-3.182912946007432,-0.7005188619041226,-58.0,2.926780567895298,11.950765160764966,54.0,1.80010228489321,-13.388393832167708
-57,-1085.6666666666667,19.506663195789937,-13.218752393964047,3.413213399975836,72.61523601801123,-3.1489682598732593,-0.7617918415207517,-57.0,2.881167362889712,11.924342122222653,53.333333333333336,2.056985534974453,-13.379123337065929
-56,-1087.1666666666667,19.449502799195987,-13.24988685883472,3.4059387021410052,71.490413745952,-3.103922111863646,-0.8288070447335301,-56.0,2.8236720467179204,11.897557365478201,52.5,2.359025136855743,-13.369728848070542
-55,-1088.6666666666667,19.40185326239599,-13.282776674424866,3.407686985234912,70.36468938911804,-3.0557843175384356,-0.8761675292195851,-55.0,2.777930370617901,11.86665865966115,51.333333333333336,2.6591045292141646,-13.341370329778444
-54,-1090.1666666666667,19.354006768735335,-13.309269484944378,3.406087749675605,69.24564031822024,-3.016499022284641,-0.9055441605245322,-54.0,2.7589076516832782,11.829494951686762,50.333333333333336,2.9443930595009977,-13.28199150077693
-53,-1091.5,19.322050483589265,-13.33132899014008,3.4188383752790386,68.22774844271179,-2.9743644782753584,-0.9149472641126346,-53.0,2.7512943984936773,11.794421581057158,49.166666666666664,3.1995438653922506,-13.21327410584015
-52,-1092.8333333333333,19.29805921802703,-13.354608633968569,3.4428013850868577,67.1972567064363,-2.9303420136137532,-0.9069506832670292,-52.0,2.7538576037987412,11.756989118486771,48.166666666666664,3.452154826215112,-13.129522283655447
