from_max_extension,OKC_extension_only_Diff_z,OKC_flexion_only_Diff_z,OKC_extension_only_Diff_z_2,OKC_flexion_only_Diff_z_2,OKC_extension_only_Diff_z_3,OKC_flexion_only_Diff_z_3,OKC_extension_only_Diff_z_avg,OKC_flexion_only_Diff_z_avg,OKC_extension_only_minus_Sensor1_z_plus_Sensor2_z,OKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z,OKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_2,OKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_2,OKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_3,OKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_3,OKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_avg,OKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_avg,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_2,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_2,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_3,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_3,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_avg,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_avg,CKC_extension_only_Diff_z,CKC_flexion_only_Diff_z,CKC_extension_only_Diff_z_2,CKC_flexion_only_Diff_z_2,CKC_extension_only_Diff_z_3,CKC_flexion_only_Diff_z_3,CKC_extension_only_Diff_z_avg,CKC_flexion_only_Diff_z_avg,CKC_extension_only_minus_Sensor1_z_plus_Sensor2_z,CKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z,CKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_2,CKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_2,CKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_3,CKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_3,CKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_avg,CKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_avg,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_2,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_2,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_3,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_3,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_avg,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_avg
0,-0.824988322715523,-0.9754299680842663,-2.325007150347318,-2.6016128798495832,-0.636999746392681,-0.5335918889206375,-0.730994034554102,-0.7545109285024518,0.5362628289875538,0.3694059627682818,-0.5934650158711515,-0.8268784828419936,0.9550809131244709,1.0595055296028744,0.7456718710560124,0.7144557461855781,-0.5362628289875538,-0.3694059627682818,0.5934650158711515,0.8268784828419936,-0.9550809131244709,-1.0595055296028744,-0.7456718710560124,-0.7144557461855781,3.091420466459595,3.4590092234651366,0.3481766101389084,0.2335668007596047,5.440756690732837,5.825726386583173,5.440756690732837,5.825726386583173,4.585735077762747,4.943231108019658,1.4722754088830587,1.3624837211629064,6.26304689628688,6.655119833993936,6.26304689628688,6.655119833993936,-4.585735077762747,-4.943231108019658,-1.4722754088830587,-1.3624837211629064,-6.26304689628688,-6.655119833993936,-6.26304689628688,-6.655119833993936
1,-0.5293799447211915,-1.1786936990163739,-3.1524239415354787,-2.8351397327444845,-0.8545599862274322,-0.6813440249163142,-1.236315693765314,-1.487216867927424,0.9642179028074258,0.3436555103001854,-1.2502023467828458,-0.9697552589620204,0.8926330229365178,1.0249241469106638,0.4211286366242641,0.18056705812295185,-0.9642179028074258,-0.3436555103001854,1.2502023467828458,0.9697552589620204,-0.8926330229365178,-1.0249241469106638,-0.4211286366242641,-0.18056705812295185,2.382836820324491,3.865165417284558,0.6261698183581561,1.1189835248266697,4.597229608684254,6.841038250051411,4.597229608684254,6.841038250051411,3.989495340688095,5.409266927750546,1.8904802308838433,2.398782407948847,5.505038904072911,7.769077205770279,5.505038904072911,7.769077205770279,-3.989495340688095,-5.409266927750546,-1.8904802308838433,-2.398782407948847,-5.505038904072911,-7.769077205770279,-5.505038904072911,-7.769077205770279
2,-1.0805174657756538,-1.710610091864834,-2.868765379634264,-3.265066349931112,-1.1445294424209114,-1.0590578216674178,-1.7924902832440146,-1.8682692154255787,0.5561711883497128,0.001058072787511281,-0.7641775114481975,-1.1084116644368252,0.7189666731005816,0.8906588732420258,0.008311838222482862,-0.026012770977494475,-0.5561711883497128,-0.001058072787511281,0.7641775114481975,1.1084116644368252,-0.7189666731005816,-0.8906588732420258,-0.008311838222482862,0.026012770977494475,1.9774342962563167,4.57291598315569,0.8054190866701677,1.2862090709311755,3.3476973613823753,7.3059352045504,1.8479369857606418,3.7697510026550023,3.827758152855336,6.279542608670349,2.337032287785167,2.8424981524258017,4.440976851529934,8.47108344139895,2.9566261302064962,4.916783581280928,-3.827758152855336,-6.279542608670349,-2.337032287785167,-2.8424981524258017,-4.440976851529934,-8.47108344139895,-2.9566261302064962,-4.916783581280928
3,-1.6243735109814457,-2.2472469462139744,-2.873839617852865,-3.4420582040931023,-1.1387770002626678,-1.7412620604494577,-1.8773052969594588,-2.4178584521981814,0.22870882646673638,-0.3433214702211037,-0.5686909061092231,-1.0642512983936354,1.0417086502672468,0.42683985465036633,0.1687466550952619,-0.3416310933358542,-0.22870882646673638,0.3433214702211037,0.5686909061092231,1.0642512983936354,-1.0417086502672468,-0.42683985465036633,-0.1687466550952619,0.3416310933358542,1.7853358112683873,4.707297164178073,0.882415029177202,1.5032910126104435,2.5260233456474173,7.171097988685674,1.5760965820027866,4.145040756756172,3.8599920143328843,6.593581064750719,2.6615986492287997,3.318609840258246,3.809796360961036,8.555274512301366,2.8501382959224397,5.477028460125107,-3.8599920143328843,-6.593581064750719,-2.6615986492287997,-3.318609840258246,-3.809796360961036,-8.555274512301366,-2.8501382959224397,-5.477028460125107
4,-2.6377691481559142,-2.5645202795515534,-3.392036418163231,-3.7518262124333788,-1.6923144301938808,-2.3918538008787595,-2.4013077320675533,-2.799477428174472,-0.6140408643993422,-0.4628717012294006,-0.8689893045119745,-1.1717942691724434,0.6994334382327637,-0.025428092330041025,-0.16109944409193389,-0.5175170306510256,0.6140408643993422,0.4628717012294006,0.8689893045119745,1.1717942691724434,-0.6994334382327637,0.025428092330041025,0.16109944409193389,0.5175170306510256,1.4341979814953287,4.537099901598564,0.8185628802148639,1.9238732704893426,2.180856154789687,7.0701022017704345,2.025898569306483,3.9384401653889154,3.727123475544969,6.588948425153665,2.8199507067609852,3.9674410042427497,3.658853959703921,8.671673825524083,3.527207108417278,5.485801028656514,-3.727123475544969,-6.588948425153665,-2.8199507067609852,-3.9674410042427497,-3.658853959703921,-8.671673825524083,-3.527207108417278,-5.485801028656514
5,-2.864160172095572,-2.942783700131088,-4.071236925649467,-4.211186362645768,-2.4745931779642265,-2.966238082120623,-2.910263256074343,-3.2202826648950293,-0.6668289282466024,-0.6411267076485118,-1.3148610810008048,-1.438274319215217,0.12954549527696116,-0.37420340909375,-0.46875757916053856,-0.7290414619715685,0.6668289282466024,0.6411267076485118,1.3148610810008048,1.438274319215217,-0.12954549527696116,0.37420340909375,0.46875757916053856,0.7290414619715685,1.2694894970892174,4.428181854225048,0.6218233627670672,2.3944518938330113,1.916820544346932,6.924347181433255,1.7273574646162082,4.097601203776086,3.7818554611833646,6.653597381825373,2.8792447759985915,4.685930517836605,3.606787713029715,8.71778631747814,3.4192939009822028,5.815221028495645,-3.7818554611833646,-6.653597381825373,-2.8792447759985915,-4.685930517836605,-3.606787713029715,-8.71778631747814,-3.4192939009822028,-5.815221028495645
6,-2.217891767765107,-3.3560150096202137,-4.585718206650077,-4.788914373654794,-3.1343103208421574,-3.406615040834866,-3.141146338085577,-3.6579388043669496,0.15966264308320466,-0.8625837560253733,-1.6346381760842514,-1.7807788514894374,-0.32933807784571484,-0.6051653813788551,-0.4948455052544383,-0.9686744855398152,-0.15966264308320466,0.8625837560253733,1.6346381760842514,1.7807788514894374,0.32933807784571484,0.6051653813788551,0.4948455052544383,0.9686744855398152,1.2011639058442054,4.4917966408433365,0.4686275744542308,2.7853278164776265,1.7318206220486914,6.739680437775955,1.509272599506624,4.412156563806996,3.9534775646436584,6.883205437193871,2.9677537469706237,5.3349400175943815,3.6552927860487756,8.75262585210339,3.4343338818883655,6.333203155005497,-3.9534775646436584,-6.883205437193871,-2.9677537469706237,-5.3349400175943815,-3.6552927860487756,-8.75262585210339,-3.4343338818883655,-6.333203155005497
7,-2.0327797636645712,-3.714558753886233,-4.99818735028719,-5.130209440185342,-3.8431617372411835,-3.57595137551774,-3.4872199025186106,-4.026474834352922,0.5480635678752819,-1.0540033441891108,-1.887443711007542,-1.9368878841593966,-0.8230884286766732,-0.6097257028489558,-0.6365543456285475,-1.148169299509168,-0.5480635678752819,1.0540033441891108,1.887443711007542,1.9368878841593966,0.8230884286766732,0.6097257028489558,0.6365543456285475,1.148169299509168,1.1304739157356927,4.718355228704192,0.35133106776994305,3.063539616544078,1.6392463155850308,6.564197935255121,1.3488018298734952,4.555315664422069,4.1199086910025144,7.283336214661491,3.0894290900386863,5.922339369717431,3.779025790854016,8.825239231020745,3.506087527061831,6.701583604536023,-4.1199086910025144,-7.283336214661491,-3.0894290900386863,-5.922339369717431,-3.779025790854016,-8.825239231020745,-3.506087527061831,-6.701583604536023
8,-2.394390044793756,-4.146686410151311,-5.4520928129568205,-5.391160561677168,-4.393087233454047,-3.748800988258932,-3.9285548761783304,-4.341898946198529,0.35757656486696865,-1.3051006174683097,-2.1238890176950016,-2.0080716645071934,-1.180972860144936,-0.5982037116243659,-0.9036133354285031,-1.280064071084024,-0.35757656486696865,1.3051006174683097,2.1238890176950016,2.0080716645071934,1.180972860144936,0.5982037116243659,0.9036133354285031,1.280064071084024,1.0452341964974292,4.920004121300448,0.22594499222510253,3.2258138874503253,1.436821361262134,6.293423272596327,1.1132156390705645,4.5386169968908385,4.253373281350533,7.6833296612119195,3.2377794446382198,6.386743910446254,3.811257308548722,8.787546339443232,3.5020448436881053,6.90381159406376,-4.253373281350533,-7.6833296612119195,-3.2377794446382198,-6.386743910446254,-3.811257308548722,-8.787546339443232,-3.5020448436881053,-6.90381159406376
9,-3.02158977554728,-4.474261808208093,-5.884366888290092,-5.505324472807665,-4.805250867600395,-3.9023062483159934,-4.426311152034832,-4.5892428727337515,-0.10023653247316933,-1.5029397417187917,-2.3215706941030443,-1.9783717308596067,-1.4051364955475885,-0.5360741635496507,-1.2097540152385864,-1.3490285232585453,0.10023653247316933,1.5029397417187917,2.3215706941030443,1.9783717308596067,1.4051364955475885,0.5360741635496507,1.2097540152385864,1.3490285232585453,0.792368144315638,5.03743187444913,0.12023862361611304,3.375642728949442,1.2534691034292589,6.004152522684036,0.9580965560961398,4.498624664484388,4.251907291320961,7.977764236744686,3.4101431384094525,6.7889379512866705,3.878775295914141,8.678940075607892,3.5833532823787304,7.084958942383565,-4.251907291320961,-7.977764236744686,-3.4101431384094525,-6.7889379512866705,-3.878775295914141,-8.678940075607892,-3.5833532823787304,-7.084958942383565
