from_max_extension,OKC_extension_only_Diff_z,OKC_flexion_only_Diff_z,OKC_extension_only_Diff_z_2,OKC_flexion_only_Diff_z_2,OKC_extension_only_Diff_z_3,OKC_flexion_only_Diff_z_3,OKC_extension_only_Diff_z_avg,OKC_flexion_only_Diff_z_avg,OKC_extension_only_minus_Sensor1_z_plus_Sensor2_z,OKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z,OKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_2,OKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_2,OKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_3,OKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_3,OKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_avg,OKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_avg,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_2,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_2,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_3,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_3,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_avg,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_avg,CKC_extension_only_Diff_z,CKC_flexion_only_Diff_z,CKC_extension_only_Diff_z_2,CKC_flexion_only_Diff_z_2,CKC_extension_only_Diff_z_3,CKC_flexion_only_Diff_z_3,CKC_extension_only_Diff_z_avg,CKC_flexion_only_Diff_z_avg,CKC_extension_only_minus_Sensor1_z_plus_Sensor2_z,CKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z,CKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_2,CKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_2,CKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_3,CKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_3,CKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_avg,CKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_avg,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_2,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_2,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_3,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_3,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_avg,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_avg
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.4361731845059058,-0.2659594805878882,0.03988245096703835,-0.4105131735663754,0.05488282336190231,-0.19202132552026896,0.34832023699051895,0.22474473089500258,-0.236239143494128,-0.0077012580325206414,0.3295530166028282,-0.23155240931623666,0.4121047039643937,0.1621200456997247,0.6953000440936083,0.5739429556058759,0.236239143494128,0.0077012580325206414,-0.3295530166028282,0.23155240931623666,-0.4121047039643937,-0.1621200456997247,-0.6953000440936083,-0.5739429556058759,-0.27285661970859465,-0.2745416430657279,0.06678798202664016,-0.8514962919926354,-0.712468472417922,-0.4942735755949661,-0.27285661970859465,-0.2745416430657279,-0.14391669378212146,-0.1780970035503775,0.23361601294645062,-0.79798106790843,-0.5681298022169168,-0.329763386200862,-0.14391669378212146,-0.1780970035503775,0.14391669378212146,0.1780970035503775,-0.23361601294645062,0.79798106790843,0.5681298022169168,0.329763386200862,0.14391669378212146,0.1780970035503775
2,-1.3877446199850283,-0.8123649298904176,-0.4832264342230381,-1.5666655220343362,-0.33316052325955603,-1.046391972943356,-0.08492387338732854,-0.3790183592023286,-0.7398128860058346,-0.18415343574873333,0.21252058046407463,-0.8933723482952978,0.5038872312124045,-0.22959991215952869,0.6678873112066537,0.3073681073086423,0.7398128860058346,0.18415343574873333,-0.21252058046407463,0.8933723482952978,-0.5038872312124045,0.22959991215952869,-0.6678873112066537,-0.3073681073086423,-0.7913470519912442,-1.0221392965731235,-0.06614824624914473,-1.7331100621360118,-0.761257460775151,-0.6254092966221378,-0.7913470519912442,-1.0221392965731235,-0.49859620486228495,-0.7748896710986255,0.27552143641831783,-1.6801954225562836,-0.3886409745116248,-0.18417682266450952,-0.49859620486228495,-0.7748896710986255,0.49859620486228495,0.7748896710986255,-0.27552143641831783,1.6801954225562836,0.3886409745116248,0.18417682266450952,0.49859620486228495,0.7748896710986255
3,-1.4466542920618704,-1.2759408411898256,-1.1432413042133458,-1.844407255839915,-0.6448521573697921,-1.182435181460507,-0.3828272705130473,-0.9642755152971692,-0.34266125364936784,-0.24517422268292854,-0.06710807988552148,-0.8004528700056568,0.6440898033026698,0.1127150856893504,0.8079945673093132,0.18052619795384928,0.34266125364936784,0.24517422268292854,0.06710807988552148,0.8004528700056568,-0.6440898033026698,-0.1127150856893504,-0.8079945673093132,-0.18052619795384928,-1.2470317576078527,-0.8073346373396859,-0.6457267239049544,-1.8165129743925377,-1.0804830131301069,-0.6803994928218131,-1.2468361579638154,-0.9264540740740808,-0.7578265601231338,-0.4860495488010308,-0.11395935921270173,-1.6399010949940047,-0.4236348534174117,-0.10911936155942903,-0.6350820436129783,-0.4206876994239406,0.7578265601231338,0.4860495488010308,0.11395935921270173,1.6399010949940047,0.4236348534174117,0.10911936155942903,0.6350820436129783,0.4206876994239406
4,-1.381587980420088,-1.7829745846838403,-1.5800979855379307,-2.209104745821186,-1.3395849547097445,-1.4028130336120537,-0.812721055742541,-1.2993266251142153,0.13499015296741845,-0.3423773819410876,-0.11849529112150847,-0.8035553417751178,0.3550210887993632,0.31971386287510484,0.7776459112306071,0.24809789669292748,-0.13499015296741845,0.3423773819410876,0.11849529112150847,0.8035553417751178,-0.3550210887993632,-0.31971386287510484,-0.7776459112306071,-0.24809789669292748,-1.6511241790888356,-0.2553282553722722,-0.6888022409912802,-1.400293295830748,-1.5579266128560763,-1.2262691897539408,-1.4154883776909868,-1.076199029086692,-0.9631167166778103,0.21269976888224873,0.022970502912309065,-1.019208368423481,-0.6257772561812125,-0.2985287654302098,-0.6209191154170912,-0.4703035745365156,0.9631167166778103,-0.21269976888224873,-0.022970502912309065,1.019208368423481,0.6257772561812125,0.2985287654302098,0.6209191154170912,0.4703035745365156
5,-1.3976376464983087,-2.088357486959639,-2.030699148642837,-2.7760645478537285,-2.3615332256495964,-1.6411634804813513,-1.304339261856759,-1.6021369048230039,0.588184637084936,-0.20861342220921308,-0.1965686467393155,-1.0058104792592886,-0.23212648323491258,0.4920716805851857,0.7158658115130248,0.34910433191709167,-0.588184637084936,0.20861342220921308,0.1965686467393155,1.0058104792592886,0.23212648323491258,-0.4920716805851857,-0.7158658115130248,-0.34910433191709167,-1.6955046013861246,-0.7116880943289088,-0.7479773844896469,-1.0052240064975173,-1.2267397322695563,-1.039720498475086,-1.1690026734134955,-1.181559116984702,-0.8297867067283557,-0.027582217670659492,0.18062246582749397,-0.42861547274976974,-0.026963839854186045,0.1648160129141285,0.033894350737043055,-0.14908491078206287,0.8297867067283557,0.027582217670659492,-0.18062246582749397,0.42861547274976974,0.026963839854186045,-0.1648160129141285,-0.033894350737043055,0.14908491078206287
6,-0.9983685155569013,-2.0770791098213213,-2.528495286176465,-3.1809959004195516,-2.5797339456366117,-1.8073275264969872,-1.3941835125735977,-1.8427520617929591,1.4259194148735403,0.18117193360455808,-0.3367001457463985,-1.0066520012622124,-0.07343811631324115,0.7537437272304164,1.0219824078771804,0.49883842024203595,-1.4259194148735403,-0.18117193360455808,0.3367001457463985,1.0066520012622124,0.07343811631324115,-0.7537437272304164,-1.0219824078771804,-0.49883842024203595,-1.684614599323302,-0.7704701660785398,-1.048848451863729,-0.7909565055579293,-0.596794200844796,-0.9733643843848077,-1.59605498941713,-1.393711970185076,-0.6190522278901804,0.10574011052195553,0.11008936023719906,-0.029025963135903332,0.8924106598083976,0.44427436975047674,-0.21506435559954307,-0.2011338209307194,0.6190522278901804,-0.10574011052195553,-0.11008936023719906,0.029025963135903332,-0.8924106598083976,-0.44427436975047674,0.21506435559954307,0.2011338209307194
7,-0.6592376842212744,-1.9462394743634608,-2.663595564268954,-3.6298016559741804,-2.466497377149066,-1.7942388393340813,-1.4093264251437496,-1.929753071774643,2.2026596812653327,0.7238925956765261,-0.08748158104309489,-1.0621428156740027,0.4637605872949617,1.1890176254438138,1.4132515648748196,0.8245560996695165,-2.2026596812653327,-0.7238925956765261,0.08748158104309489,1.0621428156740027,-0.4637605872949617,-1.1890176254438138,-1.4132515648748196,-0.8245560996695165,-1.8637583592567228,-0.869050728365143,-1.3458880147824024,-0.645517946339563,-0.49433196507741517,-1.3516144953887999,-1.686391077876122,-1.3315441717690701,-0.5769524921924116,0.2649416078114948,0.07865275241538194,0.33779212454983165,1.2862541996800654,0.305215397127204,-0.0955582137568527,0.10735977486808634,0.5769524921924116,-0.2649416078114948,-0.07865275241538194,-0.33779212454983165,-1.2862541996800654,-0.305215397127204,0.0955582137568527,-0.10735977486808634
8,-0.8483447121008219,-1.8126162043001255,-2.9182136495951827,-4.16989528815731,-2.7227662601538665,-1.8766626254956602,-1.6028184881360268,-2.062288495658935,2.4254217214975835,1.3105389383783983,0.011817704584881739,-1.2264855055640638,0.5789782793422802,1.4965355544750079,1.608984330535776,1.1041139187766085,-2.4254217214975835,-1.3105389383783983,-0.011817704584881739,1.2264855055640638,-0.5789782793422802,-1.4965355544750079,-1.608984330535776,-1.1041139187766085,-1.9613021705377598,-0.4264326113645449,-1.527721557664834,-0.6536115637784352,-0.4074933453218712,-1.4186989796436045,-1.8450392469209103,-1.0706451017243532,-0.4562581048910048,0.9563489203944235,0.14859586111334488,0.5302647156442863,1.622370877655212,0.45121268651874313,-0.014440723319918192,0.5597123313219932,0.4562581048910048,-0.9563489203944235,-0.14859586111334488,-0.5302647156442863,-1.622370877655212,-0.45121268651874313,0.014440723319918192,-0.5597123313219932
9,-1.150505395152864,-1.8519948795116807,-3.313698947549188,-4.6748657455307026,-3.3799284585777425,-2.1092907688932385,-2.0074654770700775,-2.332988645923022,2.5102230072040097,1.6897495215562017,-0.05090888018885842,-1.3869280158329786,0.2898758443814451,1.6798148383999436,1.5739837093269653,1.2368296445141684,-2.5102230072040097,-1.6897495215562017,0.05090888018885842,1.3869280158329786,-0.2898758443814451,-1.6798148383999436,-1.5739837093269653,-1.2368296445141684,-1.8804471031126244,-0.1802585804606558,-1.6528080253841457,-0.4243169584826525,-0.3884231587059803,-1.5588092243480531,-2.0775257801458817,-1.0991211567539034,-0.17089771799646813,1.4030931753442584,0.24431968066649246,0.9777904609310313,1.8710975813884418,0.5194468417604157,-0.010212430473104384,0.7786871182196329,0.17089771799646813,-1.4030931753442584,-0.24431968066649246,-0.9777904609310313,-1.8710975813884418,-0.5194468417604157,0.010212430473104384,-0.7786871182196329
