Degrees_x,timestamp_avg,Sensor1_x_avg,Sensor1_y_avg,Sensor1_z_avg,Sensor2_x_avg,Sensor2_y_avg,Sensor2_z_avg,Diff_x_avg,Diff_y_avg,Diff_z_avg,Diff_inv_x_avg,Diff_inv_y_avg,Diff_inv_z_avg
-120,,,,,,,,,,,,,
-119,,,,,,,,,,,,,
-118,,,,,,,,,,,,,
-117,,,,,,,,,,,,,
-116,,,,,,,,,,,,,
-115,,,,,,,,,,,,,
-114,,,,,,,,,,,,,
-113,,,,,,,,,,,,,
-112,,,,,,,,,,,,,
-111,,,,,,,,,,,,,
-110,,,,,,,,,,,,,
-109,,,,,,,,,,,,,
-108,,,,,,,,,,,,,
-107,,,,,,,,,,,,,
-106,,,,,,,,,,,,,
-105,,,,,,,,,,,,,
-104,,,,,,,,,,,,,
-103,,,,,,,,,,,,,
-102,,,,,,,,,,,,,
-101,,,,,,,,,,,,,
-100,,,,,,,,,,,,,
-99,,,,,,,,,,,,,
-98,,,,,,,,,,,,,
-97,,,,,,,,,,,,,
-96,,,,,,,,,,,,,
-95,,,,,,,,,,,,,
-94,,,,,,,,,,,,,
-93,,,,,,,,,,,,,
-92,,,,,,,,,,,,,
-91,,,,,,,,,,,,,
-90,,,,,,,,,,,,,
-89,,,,,,,,,,,,,
-88,,,,,,,,,,,,,
-87,,,,,,,,,,,,,
-86,2553.5,-5.105314615283603,-0.5791837330493141,-13.613427410091864,86.96204632161285,27.933943437223604,7.2622739396250635,-86.0,-19.464698415990355,15.713862718253992,92.0,14.30862575038681,7.340776153521172
-85,2636.4533333333334,-4.7204501746573015,-0.3118995880635673,-13.36069225700003,86.79681009450253,27.785430476909653,7.442310002150307,-85.0,-19.672114915027706,15.753471557261234,91.50666666666666,14.420630506168887,7.395615865273471
-84,2646.3333333333335,-4.092725501301081,0.4416902700495095,-14.52777961903895,87.09187432888724,27.673918891281915,8.047886492754182,-84.0,-19.769539233944872,14.409101338302003,90.97916666666667,13.157158922635505,7.303512197598746
-83,2917.5,-5.241637768356844,-0.47105916792001146,-12.692952282068784,83.84006065960006,27.58778158603853,5.6504368299837076,-83.0,-19.15558846219185,15.982257974399134,89.25,14.901466798039188,6.335185457998903
-82,2700.8333333333335,-5.5546363036443225,-1.1109982331011452,-13.654788598174457,82.21213773346982,27.735220935709446,4.539420109773551,-82.0,-19.22481798342979,15.113380411151226,88.54603174603176,14.131455416694388,6.20015375915752
-81,2720.8333333333335,-5.863755626041364,-1.290942048532031,-13.26035010707966,80.65410689521288,27.533272597034976,3.7792975786950502,-81.0,-19.193499022626643,15.236635260590795,87.58888888888889,14.362595019827006,5.901116689351802
-80,2723.6666666666665,-5.957207271823392,-1.2986663271827454,-13.204499802401441,79.43531224354872,27.31025826460163,3.2479303998492903,-80.0,-19.172272135562903,15.007821197540586,86.44444444444444,14.234634037057381,5.634748679135089
-79,2725.8333333333335,-6.016350225080552,-1.260892416309637,-13.137369199864539,78.3853224886409,27.08456088552872,2.797276919818497,-79.0,-19.122007501205278,14.798862269494116,85.27777777777777,14.110377459457991,5.367909149983059
-78,2727.8333333333335,-6.068042488805017,-1.236720466603084,-13.041966904280864,77.30772812363807,26.84054274121426,2.340909763531364,-78.0,-19.084568785518034,14.606074455534303,84.5,14.00160766052936,5.111245650879173
-77,2730.0,-6.123369702941719,-1.1834371416387417,-12.919036919918211,76.04162674688617,26.54287907936038,1.852344749652205,-77.0,-19.056658217093062,14.38406539661113,83.44444444444444,13.87639129844434,4.829003977055855
-76,2731.8333333333335,-6.158471043388737,-1.1422148743343679,-12.815410717274801,74.94624801900608,26.276745535630663,1.4448319995057464,-76.0,-19.048031453139373,14.184081212574192,82.0,13.758575058846427,4.60164979360044
-75,2733.5,-6.178888835671647,-1.0969731686988766,-12.70895592276579,73.89530050974084,25.99976433700706,1.0511488550922963,-75.0,-19.025309247140488,13.9844194293786,81.5,13.633819433672784,4.372559292378968
-74,2735.1666666666665,-6.180995319758561,-1.0377544129725413,-12.612220998396161,72.81513649332759,25.71030105991322,0.6449113391927874,-74.0,-18.987756926395573,13.7663218221144,80.16666666666667,13.48878466023463,4.124606925311941
-73,2736.6666666666665,-6.191506852784651,-0.9711059580003322,-12.530331907227996,71.82044144233907,25.447900324873995,0.2662379063172844,-73.0,-18.926139699988653,13.568521073810052,79.16666666666667,13.348629617552119,3.873582364422385
-72,2738.3333333333335,-6.194396821571655,-0.8980750168331068,-12.400316868743142,70.68578983257031,25.120512459409685,-0.1779617326850882,-72.0,-18.835740202670127,13.363535568508377,78.16666666666667,13.200910412798825,3.568878717777529
-71,2739.6666666666665,-6.187601248176585,-0.8561220004825096,-12.297338905226136,69.7511888265339,24.861411783268185,-0.5551231358706312,-71.0,-18.765427500371334,13.211916662349097,77.0,13.092679938587798,3.32401517650005
-70,2741.0,-6.1674462144488045,-0.797518530955934,-12.16621843550414,68.80000993449288,24.58829367352966,-0.9269631779922607,-70.0,-18.68655544917463,13.075143773936077,76.66666666666667,12.993762800865207,3.061319280038383
-69,2742.5,-6.151426287791256,-0.7198747276225529,-12.035148694541803,67.707335666194,24.279241713155233,-1.3513224318091313,-69.0,-18.57934531626817,12.91279899852798,75.16666666666667,12.865805296567705,2.7513619148590505
-68,2743.8333333333335,-6.120587442973449,-0.6652210410064433,-11.930129091383066,66.73086885580616,23.99699855679437,-1.7273623538658522,-68.0,-18.497952099591128,12.757709072193025,74.16666666666667,12.739871923663534,2.4937194000556286
-67,2745.0,-6.096819369088609,-0.6053952904810235,-11.860590887411446,65.86691952062591,23.741079576662496,-2.0424733281965874,-67.0,-18.423155556421467,12.590482407007054,73.0,12.594405286129183,2.2736868181403
-66,2746.5,-6.051628266661976,-0.5234543766264824,-11.768372219274681,64.73668877277179,23.40300075238829,-2.427035430977687,-66.0,-18.343072130712446,12.370479041129267,72.33333333333333,12.404205246678979,2.008742199755545
-65,2748.0,-6.007686216703924,-0.4323171874041936,-11.673906576679016,63.60021457640939,23.043316959053413,-2.8018345484740768,-65.0,-18.249826554219684,12.136807131897347,71.0,12.192372248718245,1.740764643348501
-64,2749.0,-5.9744998319496725,-0.3711112069618883,-11.610111154262603,62.84290376173629,22.801405457203703,-3.0329559643398505,-64.0,-18.1991402963941,11.978900703694856,70.0,12.04977240703974,1.5780732063349159
-63,2750.3333333333335,-5.936121694182702,-0.27863158276978567,-11.530790097133577,61.83718643843818,22.474597363402626,-3.334340763728996,-63.0,-18.1151646013722,11.764426905184648,69.33333333333333,11.846220897907694,1.3547158444837148
-62,2751.6666666666665,-5.910218017783147,-0.19167671051117066,-11.451712958728885,60.8311535254922,22.141624295385885,-3.627738955141633,-62.0,-18.028900699379914,11.549015136413283,68.0,11.636890458498682,1.139173203203731
-61,2752.8333333333335,-5.869693197774553,-0.11263590062064562,-11.373609070201427,59.94741206016143,21.83542911964339,-3.894488974596774,-61.0,-17.935242800873176,11.360746219805309,67.16666666666667,11.44507969242873,0.9354115002101983
-60,2754.1666666666665,-5.827937340523325,-0.008490607947612064,-11.29529728800942,58.943146360234095,21.482196619348898,-4.191857783845123,-60.0,-17.80886930852291,11.13578032395874,66.0,11.203991050084847,0.6967207582624924
-59,2755.5,-5.776587328461967,0.08551875516435536,-11.198310629710223,57.95419361444531,21.124296024173756,-4.483978969452453,-59.0,-17.684771036026792,10.935618678401879,65.16666666666667,10.981650307922434,0.46074918104350243
