Degrees_x,timestamp,Sensor1_x,Sensor1_y,Sensor1_z,Sensor2_x,Sensor2_y,Sensor2_z,Diff_x,Diff_y,Diff_z,Diff_inv_x,Diff_inv_y,Diff_inv_z,minus_Sensor1_x_plus_Sensor2_x,minus_Sensor1_y_plus_Sensor2_y,minus_Sensor1_z_plus_Sensor2_z,minus_Sensor2_x_plus_Sensor1_x,minus_Sensor2_y_plus_Sensor1_y,minus_Sensor2_z_plus_Sensor1_z,timestamp_2,Sensor1_x_2,Sensor1_y_2,Sensor1_z_2,Sensor2_x_2,Sensor2_y_2,Sensor2_z_2,Diff_x_2,Diff_y_2,Diff_z_2,Diff_inv_x_2,Diff_inv_y_2,Diff_inv_z_2,minus_Sensor1_x_plus_Sensor2_x_2,minus_Sensor1_y_plus_Sensor2_y_2,minus_Sensor1_z_plus_Sensor2_z_2,minus_Sensor2_x_plus_Sensor1_x_2,minus_Sensor2_y_plus_Sensor1_y_2,minus_Sensor2_z_plus_Sensor1_z_2,timestamp_3,Sensor1_x_3,Sensor1_y_3,Sensor1_z_3,Sensor2_x_3,Sensor2_y_3,Sensor2_z_3,Diff_x_3,Diff_y_3,Diff_z_3,Diff_inv_x_3,Diff_inv_y_3,Diff_inv_z_3,minus_Sensor1_x_plus_Sensor2_x_3,minus_Sensor1_y_plus_Sensor2_y_3,minus_Sensor1_z_plus_Sensor2_z_3,minus_Sensor2_x_plus_Sensor1_x_3,minus_Sensor2_y_plus_Sensor1_y_3,minus_Sensor2_z_plus_Sensor1_z_3,timestamp_avg,Sensor1_x_avg,Sensor1_y_avg,Sensor1_z_avg,Sensor2_x_avg,Sensor2_y_avg,Sensor2_z_avg,Diff_x_avg,Diff_y_avg,Diff_z_avg,Diff_inv_x_avg,Diff_inv_y_avg,Diff_inv_z_avg,minus_Sensor2_x_plus_Sensor1_x_avg,minus_Sensor2_y_plus_Sensor1_y_avg,minus_Sensor2_z_plus_Sensor1_z_avg
120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,,1867.5,1.5774783265337462,7.3821195028269875,13.409895547284213,-93.7973926283115,3.622276631236271,12.368861037967632,104.0,6.039769498080049,7.8130787376084525,-95.0,-9.07946671563465,20.88060191541122,-95.37487095484524,-3.7598428715907164,-1.0410345093165814,101.08237001193986,-11.695868247232715,-1.9380644834211476,2470.5,1.4810615761948644,7.751960351058668,12.602740649121015,-93.67574742826626,3.3183645178157626,12.299488410410131,104.0,6.304838148468926,7.257305672806572,-95.0,-8.578089978180365,21.06650412571757,-95.15680900446112,-4.433595833242905,-0.3032522387108861,100.86430806155576,-11.022115285580528,-2.6758467540268427,2169.0,1.5292699513643053,7.567039926942828,13.006318098202614,-93.73657002828888,3.470320574526017,12.33417472418888,104.0,6.172303823274488,7.535192205207512,-95.0,-8.828778346907509,20.973553020564395,100.9733390367478,-11.358991766406621,-2.306955618723995
103,,,,,,,,,,,,,,,,,,,,1950.5,0.3652770534632014,7.858195087814691,16.49171440776564,-94.15587804446227,3.686962919656963,10.597534982427534,103.0,4.714273288306814,10.48384576735759,-94.00649350649351,-12.18207416257555,19.60416354099858,-94.52115509792547,-4.171232168157729,-5.8941794253381055,100.2286541550201,-11.284478950665704,2.9150804326003765,2542.5,0.45164717989422104,7.834701748249934,14.129300661776798,-94.11984951327777,3.5344721513335675,11.608596142746455,103.0,5.690778305187074,8.368593894991958,-94.00806451612904,-9.969891252635062,20.44070066407918,-94.571496693172,-4.300229596916366,-2.520704519030343,100.2789957502666,-11.155481521907065,-0.45839447370738595,2246.5,0.40846211667871124,7.846448418032312,15.310507534771219,-94.13786377887001,3.610717535495265,11.103065562586995,103.0,5.202525796746944,9.426219831174773,-94.00727901131128,-11.075982707605306,20.02243210253888,100.25382495264336,-11.219980236286386,1.2283429794464953
102,,,,,,,,,,,,,,,,,,,,2030.0,1.5700794772128988,8.20462895386555,12.62299025727021,-92.12622881574607,3.390873241285847,10.209045377577057,102.0,4.612343280749208,6.726721960836043,-93.2,-8.719870241390506,19.1175231173049,-93.69630829295897,-4.813755712579703,-2.4139448796931537,99.4038073500536,-10.641955406243728,-0.5651541130445754,2607.0,1.625899228726374,8.13671133586522,12.15818681528845,-92.10989394250626,3.7978605906722946,11.336903585462728,102.0,5.695761627861084,5.919390373255764,-93.2,-7.851456344889255,20.15081940557581,-93.73579317123263,-4.338850745192927,-0.8212832298257233,99.44329222832725,-11.116860373630505,-2.157815762912006,2318.5,1.5979893529696363,8.170670144865385,12.390588536279331,-92.11806137912617,3.5943669159790708,10.772974481519892,102.0,5.1540524543051465,6.323056167045904,-93.2,-8.28566329313988,19.634171261440354,99.42354978919042,-10.879407889937116,-1.3614849379782905
