from_max_extension,OKC_extension_only_Diff_z,OKC_flexion_only_Diff_z,OKC_extension_only_Diff_z_2,OKC_flexion_only_Diff_z_2,OKC_extension_only_Diff_z_3,OKC_flexion_only_Diff_z_3,OKC_extension_only_Diff_z_avg,OKC_flexion_only_Diff_z_avg,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_2,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_2,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_3,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_3,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_avg,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_avg,CKC_extension_only_Diff_z,CKC_flexion_only_Diff_z,CKC_extension_only_Diff_z_2,CKC_flexion_only_Diff_z_2,CKC_extension_only_Diff_z_3,CKC_flexion_only_Diff_z_3,CKC_extension_only_Diff_z_avg,CKC_flexion_only_Diff_z_avg,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_2,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_2,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_3,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_3,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_avg,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_avg
0,-7.979330902827735,-8.105787620818287,-7.579718560040036,-7.656927276210731,-7.5820123995565964,-7.562184949845029,-7.579718560040036,-7.656927276210731,-7.481077962247483,-7.69058057844551,-7.164166365924323,-7.252407248652557,-7.263020613141147,-7.241567961895439,-7.164166365924323,-7.252407248652557,-0.8443003567998723,-0.4616219318120519,0.013384040852440758,0.12965055215888674,-0.5785381847696205,-0.536898863163622,0.013384040852440758,0.12965055215888674,-0.8276553638380703,-0.43046585793011394,0.024430881426191594,0.15506660056089877,-0.7458729430754811,-0.7018954880414325,0.024430881426191594,0.15506660056089877
1,-8.519947166402801,-8.351595930729385,-7.864622372057265,-7.781510229191022,-8.000488092943817,-7.488765859912857,-7.808655224813865,-7.816494266618112,-7.933636202665531,-7.9504474700146375,-7.433526206075999,-7.410020680368005,-7.704805492279358,-7.204319682588227,-7.3925415938215435,-7.447389740236318,-0.876537587780038,-0.358341904982002,0.013304719087338813,0.19811531626916482,-0.8180513166090334,-0.26861756834565614,-0.4698446074940514,-0.266801826235503,-0.9390733775540308,-0.38935374086383845,-0.00951608501311707,0.1995244043305981,-1.0286371486557138,-0.41215506803090707,-0.5276814639755562,-0.3109456472136494
2,-8.659955580077412,-8.293772272205647,-8.018268377452136,-7.586517089565876,-7.933231274338356,-7.2655974292704135,-8.17956787893292,-7.80895962673604,-8.062040521886429,-7.937163397089888,-7.601132914927661,-7.279443076151011,-7.6854407915708185,-7.041900474460209,-7.7465248699575175,-7.478070076251292,-0.6665871082160749,-0.48091837569365786,-0.7362966950706704,-0.14923915203820984,-0.7854582490581528,-0.2808735332350289,-0.8102951998199139,-0.258732875121956,-0.8198313120383105,-0.5709467183920568,-0.8376171510019795,-0.2003080203875811,-1.0921798174656672,-0.5113058492666299,-0.9351092257372414,-0.3339389430941089
3,-8.66283719319759,-8.19895014249006,-8.108369401234736,-7.387964965312126,-8.211405721726955,-7.57249805843734,-8.233852085216833,-7.649111555596062,-8.08466135461486,-7.886238946514749,-7.7263751647614765,-7.133815359156425,-8.04233447167253,-7.462913030101939,-7.824618826072908,-7.37095974356884,-0.42613214586193426,-0.6227041494404848,-0.9138275068785365,-0.5582885990115632,-0.45816471104191214,-0.23731796576675024,-0.7886242880509213,-0.44002683598008335,-0.6732497998343274,-0.7846972181690728,-1.1162559310285005,-0.6756086469202169,-0.8591628261166182,-0.5472067120776876,-1.009422353510826,-0.5859537381929679
4,-8.557633258051398,-7.9731138841640545,-7.9632015421320546,-7.699384561440501,-8.33038471677451,-7.289630268348779,-8.2791481523522,-7.8236109207893,-8.001573528016872,-7.704824820342065,-7.62963232923817,-7.524983315213623,-8.256239766712977,-7.310091988434096,-7.9188760518418535,-7.624711763943438,0.11732976544948581,-0.8796260328360017,-0.7696641236588645,-0.5754191890155967,0.30391457073989037,-0.3012954642487127,-0.5513203268542369,-0.4784804347409439,-0.21809655670807757,-1.1191770766452227,-1.0692925254722077,-0.768317447751063,-0.18717849977273637,-0.6876858384751845,-0.8672350504743843,-0.7000737926659412
5,-8.262494892811976,-7.862778035748303,-7.655841195155402,-7.4327237038016065,-8.04318322684396,-6.856114965133114,-8.18128638999377,-7.565155952104813,-7.7787523363084325,-7.693518713397149,-7.42129334362739,-7.378687302607815,-8.051574288167279,-6.971179172963275,-7.89303554611908,-7.4645347037946586,0.47517949444779617,-0.7612770985491583,-0.11780704487433065,-0.4274441778407905,0.9146284824764301,-0.22652551617682523,0.10114576377168184,-0.536121891641835,0.07653851383512578,-1.0733733831555317,-0.5031690449102098,-0.7030049222209888,0.33542875289108265,-0.6940343843171485,-0.3028147004636746,-0.836622612447132
6,-8.31794352148138,-7.667104493235058,-7.6533941066484665,-7.181383265381222,-7.80607489212239,-6.64045168538446,-7.986357408768133,-7.300092088754212,-7.8868859785486345,-7.5955783762363005,-7.530818046814172,-7.215408832312111,-7.877170773667429,-6.8481457888484725,-7.787048223763295,-7.293368906224178,0.9018543569884808,-0.6407106326729408,0.8037293997989352,-0.1918961546943422,1.6401237418885757,-0.0034110223224888734,0.731179125574387,-0.39323292314010855,0.453549724971289,-1.0315742249545528,0.33953258585509544,-0.5451600481614159,0.9816232034898076,-0.5494998170825601,0.25049995086043464,-0.7708559385446988
7,-8.25971997644569,-7.332990941371862,-7.66080553762685,-7.170706130847601,-7.867855727226058,-6.724596777286658,-7.928274650410207,-7.159420769822373,-7.8846891581869984,-7.31625652629273,-7.611089199665166,-7.260502896034918,-7.999010157909749,-7.010976516887954,-7.791715317293743,-7.234742353706564,1.4997919462412561,-0.37207695740984836,1.6003494487156573,0.04948292760202433,2.2184057880885266,0.2940803362033743,1.3807758491975715,-0.19821290913113512,1.0035836840760315,-0.8479867205217593,1.0749356145448719,-0.39353385086125314,1.490799659236032,-0.338438752982445,0.8367028476686561,-0.6582026309661221
8,-7.907468920624708,-7.270613333684487,-7.445312000510376,-7.127111684790132,-7.997991875865004,-6.884391640701356,-7.857629234727374,-7.061566467816218,-7.563538358733418,-7.298104638794985,-7.459357063153652,-7.297568030289419,-8.175870245955286,-7.261592880172834,-7.781018793083466,-7.208267024490034,1.7901418351809382,0.17681220319348323,2.6093145244976417,0.3100066205382159,2.6169832280095235,0.6741668706700392,2.109170752942475,0.07733666644391396,1.2635047862108229,-0.37257009994078727,2.044390126708012,-0.22243643793892018,1.8462532898173978,-0.04961990614875589,1.5129244900066918,-0.46962063714770813
9,-7.610185001150161,-7.421224026759126,-7.295318458443369,-6.880420593577922,-7.786466854359294,-6.786663315458449,-7.733593084977694,-7.011808522654587,-7.285790202359592,-7.513484202130159,-7.37074149416438,-7.124510391869272,-8.007257322376192,-7.273718749676207,-7.703383366284361,-7.228069303612364,2.2214586596464403,1.0859524502231397,3.779003929706633,0.6675516304712182,3.2056023960277997,1.1687882012873774,2.7287096642990316,0.5061769014449136,1.678714260926915,0.4793454597223281,3.1771659312464493,0.05033320319049276,2.4043246992538854,0.3515416953800396,2.095641335758223,-0.1239522676330168
10,-7.538486611747554,-7.315150238861381,-7.2032885130500715,-6.639992304358695,-7.666419977565336,-6.322001010230281,-7.533313456186509,-6.949293215525423,-7.217391242729835,-7.435004159342007,-7.321549185844379,-6.938996532343368,-7.924481170202305,-6.913456203189674,-7.538198903526722,-7.242066494716578,2.6463787826787515,2.0238821798329,4.4605334187039345,1.351084842467225,3.856572076856811,1.715851695424626,3.2958648247927247,1.2019418313259138,2.0869438948626593,1.3617103979623093,3.835126336971207,0.6466043963730984,3.03659784579123,0.8068040486705463,2.6393884323840027,0.49249718382515534
11,-7.700841239802005,-6.9408531689461945,-7.041916051161631,-6.367397053867376,-7.444818644337683,-6.251584433074093,-7.41560754682484,-6.668182767653012,-7.378571629480916,-7.06959090972519,-7.200351264515672,-6.724160417884154,-7.730457528985731,-6.91777360478214,-7.447407892482604,-7.024206926805278,3.0916364618911514,2.633587567476279,4.876927382206849,2.092988581323428,4.523779177671269,2.2810624840935714,3.7932927472474702,1.944240818860318,2.539484387189917,1.9284071086645718,4.247253638698643,1.3067871968170834,3.701175659234533,1.287626022328281,3.1235984597841777,1.1584338811499797
12,-7.988745142896271,-6.866545778784512,-6.8203540620065075,-5.991039097599977,-7.568571461306476,-6.742894453527396,-7.322004648715399,-6.394492233206755,-7.65482979740833,-7.007830705354926,-7.019460483579351,-6.392500833936416,-7.872244544084637,-7.470499354884233,-7.376163214015333,-6.793288449481249,3.5032647404982336,3.071100259276941,5.855114733234688,2.532293932581778,5.345026866581547,2.970062173323024,4.490176790932369,2.4823146613838762,2.9550986519341254,2.343779137216309,5.214248024336901,1.6879828158111279,4.5219418889227665,1.9186587604873555,3.8183026902537835,1.6346719822679934
