from_max_extension,OKC_extension_only_Diff_z,OKC_flexion_only_Diff_z,OKC_extension_only_Diff_z_2,OKC_flexion_only_Diff_z_2,OKC_extension_only_Diff_z_3,OKC_flexion_only_Diff_z_3,OKC_extension_only_Diff_z_avg,OKC_flexion_only_Diff_z_avg,OKC_extension_only_minus_Sensor1_z_plus_Sensor2_z,OKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z,OKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_2,OKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_2,OKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_3,OKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_3,OKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_avg,OKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_avg,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_2,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_2,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_3,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_3,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_avg,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_avg,CKC_extension_only_Diff_z,CKC_flexion_only_Diff_z,CKC_extension_only_Diff_z_2,CKC_flexion_only_Diff_z_2,CKC_extension_only_Diff_z_3,CKC_flexion_only_Diff_z_3,CKC_extension_only_Diff_z_avg,CKC_flexion_only_Diff_z_avg,CKC_extension_only_minus_Sensor1_z_plus_Sensor2_z,CKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z,CKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_2,CKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_2,CKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_3,CKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_3,CKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_avg,CKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_avg,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_2,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_2,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_3,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_3,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_avg,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_avg
0,12.672239045176497,12.430478984908264,12.835529720962636,12.754679751524854,13.24621496609738,13.195969910430149,12.672239045176497,12.430478984908264,-12.613848033917565,-12.456075141123769,-13.087747215940917,-13.030831627853047,-13.29513625737484,-13.268148304751156,-12.613848033917565,-12.456075141123769,12.613848033917565,12.456075141123769,13.087747215940917,13.030831627853047,13.29513625737484,13.268148304751156,12.613848033917565,12.456075141123769,6.709773369521339,7.227703697706052,7.171799826559079,7.330917140010745,5.168138282510837,5.4785109762413295,5.9389558260160875,6.353107336973691,-9.32087284479821,-9.745106889274323,-8.299313963724124,-8.454724290442972,-7.5493093180952355,-7.850380035186786,-8.435091081446723,-8.797743462230555,9.32087284479821,9.745106889274323,8.299313963724124,8.454724290442972,7.5493093180952355,7.850380035186786,8.435091081446723,8.797743462230555
1,13.497913025603332,12.576220784607052,12.817866499224841,12.763529386274708,13.299662825463944,13.275285715683426,13.372063995850356,12.886095347518602,-13.456392774162165,-12.672870850653077,-13.078802256727654,-13.124143960910256,-13.37468442988122,-13.443356968726425,-13.375764515768502,-12.970509577702117,13.456392774162165,12.672870850653077,13.078802256727654,13.124143960910256,13.37468442988122,13.443356968726425,13.375764515768502,12.970509577702117,5.95678190479083,7.00205420782,6.815319801039345,7.712902604429919,4.834493438591729,6.009471381506106,5.395637671691279,6.5057627946630525,-8.273904738976237,-9.29581077792221,-7.821361677400353,-8.640003915155736,-6.981479656748886,-8.221849598575687,-7.627692197862562,-8.758830188248949,8.273904738976237,9.29581077792221,7.821361677400353,8.640003915155736,6.981479656748886,8.221849598575687,7.627692197862562,8.758830188248949
2,13.454393697148056,12.614008137081013,12.723338751523073,12.727214680820753,13.37528926558061,13.437230893049927,13.377028261306,12.94464692638222,-13.457987315641573,-12.762834301460275,-12.973852937040379,-13.11951943899761,-13.478283406724128,-13.7389050827444,-13.416335872761397,-13.10309563509335,13.457987315641573,12.762834301460275,12.973852937040379,13.11951943899761,13.478283406724128,13.7389050827444,13.416335872761397,13.10309563509335,5.052454737338286,6.665094408346677,6.18795028120754,6.887237786818285,4.256529709794724,6.313701770446776,4.654492223566505,6.489398089396726,-7.049114885777297,-8.653970142255965,-6.925866204232516,-7.648602607268375,-6.127934533926111,-8.248566508792791,-6.588524709851704,-8.451268325524378,7.049114885777297,8.653970142255965,6.925866204232516,7.648602607268375,6.127934533926111,8.248566508792791,6.588524709851704,8.451268325524378
3,13.811759992149012,12.727124637909629,12.099806243910825,12.342774380001822,13.36109629139732,13.483664778848881,13.340859659564087,12.973011760828136,-13.80739332448254,-12.950754962768896,-12.392017098610042,-12.795578504617225,-13.512196876700356,-13.847533664404594,-13.457807982382528,-13.240163891122116,13.80739332448254,12.950754962768896,12.392017098610042,12.795578504617225,13.512196876700356,13.847533664404594,13.457807982382528,13.240163891122116,4.3468642454487085,6.563992785515442,5.533734025905141,6.5828030843433405,3.838717020696907,6.414993471830456,4.092790633072807,6.489493128672949,-6.030528020973075,-8.255276815044384,-6.050595529750614,-7.103643408163787,-5.408641516884632,-7.982582997562791,-5.719584768928854,-8.118929906303588,6.030528020973075,8.255276815044384,6.050595529750614,7.103643408163787,5.408641516884632,7.982582997562791,5.719584768928854,8.118929906303588
4,13.832380995721829,12.576247565006113,11.556499547823266,11.92709274185527,13.072103489700075,13.282462676426448,13.337114595447995,12.941147243376568,-13.828827099834298,-12.852223023479583,-11.922966037901565,-12.473994511656933,-13.314737550512607,-13.702348696435688,-13.473275411087435,-13.274633549598144,13.828827099834298,12.852223023479583,11.922966037901565,12.473994511656933,13.314737550512607,13.702348696435688,13.473275411087435,13.274633549598144,3.6173869785460218,6.566953020257693,4.940415029286142,6.182777883209654,3.5716429688130567,5.754420544430406,4.786943257972719,6.550763568232948,-4.977202532986465,-7.967876198774701,-5.2090583429245685,-6.439644039139613,-4.837510842266999,-7.048636986023278,-6.038009112992529,-7.823745825080317,4.977202532986465,7.967876198774701,5.2090583429245685,6.439644039139613,4.837510842266999,7.048636986023278,6.038009112992529,7.823745825080317
5,13.596927252834384,12.427924510417265,11.377649113141851,11.699858504416014,12.401104144137376,13.192079075651227,13.13078983135251,12.812533955888156,-13.689913965165465,-12.770804939617008,-11.807781328513787,-12.354448175127787,-12.745309770264631,-13.695444277162627,-13.32616815090615,-13.197557691683436,13.689913965165465,12.770804939617008,11.807781328513787,12.354448175127787,12.745309770264631,13.695444277162627,13.32616815090615,13.197557691683436,3.2609255949791933,6.410315565822947,4.534909101913242,5.57388056668645,3.2778090074467334,5.228097618799197,4.451351467821758,6.450438596350687,-4.336792308937554,-7.531887042948406,-4.557476665519805,-5.603898952362798,-4.284986797008655,-6.26745150436005,-5.481046927782188,-7.479780820821397,4.336792308937554,7.531887042948406,4.557476665519805,5.603898952362798,4.284986797008655,6.26745150436005,5.481046927782188,7.479780820821397
6,13.14212952293074,12.254494457914086,11.200137287542875,11.493579989217507,11.845134818913351,13.228578052673242,12.547679970326314,12.596449304522379,-13.334469376039797,-12.68063164292819,-11.697649484052315,-12.23478104859575,-12.289426314810855,-13.764091821622129,-12.823932081638157,-13.057218141569349,13.334469376039797,12.68063164292819,11.697649484052315,12.23478104859575,12.289426314810855,13.764091821622129,12.823932081638157,13.057218141569349,3.1818726823778882,5.721708752386173,4.219340916926415,4.969514140451036,2.9009860528635,4.262717158449828,4.090269672149643,5.6238878992180945,-3.988364705214969,-6.569267128193693,-4.013566441377512,-4.769297510415293,-3.6713032198395057,-4.9749106428366865,-4.86184470976233,-6.397593459432918,3.988364705214969,6.569267128193693,4.013566441377512,4.769297510415293,3.6713032198395057,4.9749106428366865,4.86184470976233,6.397593459432918
7,12.681327662923948,12.009399848552123,10.862254149605509,11.172067804362923,11.457526554234747,12.638287724653122,12.027654009886854,12.38835688102688,-12.978804069512583,-12.498758056985844,-11.418452165483462,-12.017922059501506,-11.997934537834391,-13.291081503662548,-12.397065474075001,-12.912281463421635,12.978804069512583,12.498758056985844,11.418452165483462,12.017922059501506,11.997934537834391,13.291081503662548,12.397065474075001,12.912281463421635,2.914177705200485,4.868396297906005,4.134860176810537,4.472633775594181,2.552302942585945,3.00778003056799,3.6667382245638573,4.819659804272445,-3.44791735281018,-5.429172675244074,-3.670114432388563,-4.005160423872202,-3.0529896825360745,-3.5396559848705262,-4.183834188365623,-5.357490689426129,3.44791735281018,5.429172675244074,3.670114432388563,4.005160423872202,3.0529896825360745,3.5396559848705262,4.183834188365623,5.357490689426129
8,12.228811271064105,11.818411609664492,10.754734882463303,10.527592341585947,10.922126564309432,12.410076440401625,11.687995646146902,12.052185946244544,-12.617561796629838,-12.387953163003056,-11.346611047078245,-11.486981830101682,-11.570952949660064,-13.123295699459225,-12.141092554326006,-12.67782761393113,12.617561796629838,12.387953163003056,11.346611047078245,11.486981830101682,11.570952949660064,13.123295699459225,12.141092554326006,12.67782761393113,2.4247436924498444,4.295439930495825,3.626176936041358,3.753943965819829,2.310619410509085,3.0806147542157185,3.2252593774150236,4.519610855973732,-2.7226023600621194,-4.6017107181438135,-2.9256666841395433,-3.0582788292353156,-2.530319086869026,-3.3191910260250195,-3.4873265966185714,-4.786848594436148,2.7226023600621194,4.6017107181438135,2.9256666841395433,3.0582788292353156,2.530319086869026,3.3191910260250195,3.4873265966185714,4.786848594436148
9,11.97501638934577,11.486603929576399,10.659791712930758,10.137402876681673,10.574864200673519,11.682605853049735,11.36576008039936,11.796753453065177,-12.442083677967519,-12.136870056283444,-11.29902010880297,-11.146343019009818,-11.306070825193856,-12.519654462554708,-11.903562037226633,-12.498315601446139,12.442083677967519,12.136870056283444,11.29902010880297,11.146343019009818,11.306070825193856,12.519654462554708,11.903562037226633,12.498315601446139,2.1519441316109766,3.700620429051292,2.886644529118762,3.1765893991081042,2.0379032783854725,3.026657085124551,2.9082521706365636,4.100386026954098,-2.201819979721785,-3.7281136065597216,-1.9413850125267527,-2.2369074978858627,-2.023221997217717,-2.9797597531036235,-2.927506214153102,-4.103924104008715,2.201819979721785,3.7281136065597216,1.9413850125267527,2.2369074978858627,2.023221997217717,2.9797597531036235,2.927506214153102,4.103924104008715
