from_max_extension,OKC_extension_only_Diff_z,OKC_flexion_only_Diff_z,OKC_extension_only_Diff_z_2,OKC_flexion_only_Diff_z_2,OKC_extension_only_Diff_z_3,OKC_flexion_only_Diff_z_3,OKC_extension_only_Diff_z_avg,OKC_flexion_only_Diff_z_avg,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_2,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_2,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_3,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_3,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_avg,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_avg,CKC_extension_only_Diff_z,CKC_flexion_only_Diff_z,CKC_extension_only_Diff_z_2,CKC_flexion_only_Diff_z_2,CKC_extension_only_Diff_z_3,CKC_flexion_only_Diff_z_3,CKC_extension_only_Diff_z_avg,CKC_flexion_only_Diff_z_avg,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_2,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_2,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_3,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_3,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_avg,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_avg
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.8256739804268349,0.1457417996987882,-0.017663221737795,0.008849634749854118,0.05344785936656393,0.07931580525327675,0.6998249506738592,0.45561636261033733,0.8425447402446,0.2167957095293076,-0.008944959213263104,0.09331233305720943,0.0795481725063798,0.17520866397526902,0.7619164818509372,0.5144344365783482,-0.7529914647305089,-0.22564948988605238,-0.35648002551973423,0.38198546441917447,-0.33364484391910754,0.5309604052647767,-0.5433181543248082,0.15265545768936128,-1.046968105821973,-0.44929611135211367,-0.47795228632377107,0.1852796247127646,-0.5678296613463498,0.37146956338890114,-0.8073988835841615,-0.03891327398160627
2,0.7821546519715596,0.18352915217274912,-0.1121909694395633,-0.027465070704101535,0.12907429948323035,0.24126098261977802,0.7047892161295035,0.5141679414739553,0.8441392817240079,0.3067591603365063,-0.11389427890053838,0.08868781114456326,0.18314714934928666,0.47075677799324467,0.8024878388438328,0.6470204939695812,-1.6573186321830526,-0.5626092893593748,-0.9838495453515392,-0.44367935319245966,-0.911608572716113,0.8351907942054462,-1.2844636024495824,0.1362907524230348,-2.2717579590209125,-1.0911367470183588,-1.373447759491608,-0.806121683174597,-1.4213747841691244,0.398186473606005,-1.846566371595019,-0.3464751367061769
3,1.1395209469725156,0.2966456530013648,-0.7357234770518115,-0.41190537152303186,0.11488132529994033,0.2876948684187326,0.6686206143875904,0.5425327759198719,1.193545290564975,0.4946798216451267,-0.695730117330875,-0.2352531232358217,0.21706061932551535,0.579385359653438,0.8439599484649634,0.7840887499983467,-2.3629091240726305,-0.6637109121906102,-1.638065800653938,-0.7481140556674042,-1.32942126181393,0.9364824955891269,-1.84616519294328,0.1363857916992579,-3.2903448238251345,-1.489830074229939,-2.24871843397351,-1.3510808822791844,-2.1406678012106033,0.13220296237600504,-2.715506312517869,-0.6788135559269666
4,1.1601419505453325,0.1457685800978492,-1.27903017313937,-0.8275870096695837,-0.1741114763973055,0.08649276599629907,0.664875550271498,0.5106682584683035,1.214979065916733,0.3961478823558142,-1.1647811780393518,-0.5568371161961139,0.019601293137766262,0.4342003916845325,0.8594273771698706,0.8185584084743756,-3.0923863909753173,-0.6607506774483589,-2.231384797272937,-1.148139256801091,-1.5964953136977802,0.27590956818907664,-1.1520125680433688,0.19765623125925647,-4.343670311811745,-1.7772306904996222,-3.0902556207995557,-2.0150802513033588,-2.7117984758282363,-0.801743049163508,-2.397081968454194,-0.9739976371502381
5,0.9246882076578871,-0.0025544744909993256,-1.457880607820785,-1.0548212471088405,-0.8451108219600041,-0.0038908347789217146,0.45855078617601386,0.38205497097989216,1.0760659312479,0.31472979849323934,-1.2799658874271298,-0.6763834527252595,-0.5498264871102094,0.4272959724114713,0.712320116988586,0.7414825505596667,-3.4488477745421457,-0.8173881318831047,-2.636890724645837,-1.757036573324295,-1.8903292750641034,-0.2504133574421328,-1.4876043581943295,0.09733125937699594,-4.984080535860656,-2.2132198463259174,-3.7418372982043193,-2.850825338080174,-3.264322521086581,-1.5829285308267362,-2.954044153664535,-1.3179626414091574
6,0.46989047775424275,-0.17598452699417777,-1.6353924334197618,-1.2610997623073477,-1.4010801471840288,0.032608142243093496,-0.12455907485018258,0.16597031961411446,0.7206213421222323,0.22455650180442177,-1.390097731888602,-0.7960505792572974,-1.0057099425639855,0.49594351687097316,0.21008404772059208,0.60114300044558,-3.527900687143451,-1.5059949453198787,-2.9524589096326643,-2.361402999559709,-2.267152229647337,-1.2157938177915018,-1.8486861538664447,-0.7292194377555967,-5.332508139583241,-3.1758397610806304,-4.285747522346612,-3.6854267800276785,-3.87800609825573,-2.8754693923501,-3.5732463716843927,-2.400150002797637
7,0.009088617747451622,-0.42107913635614125,-1.973275571357128,-1.582611947161931,-1.7886884118626334,-0.5576821857770273,-0.6445850352896425,-0.042122103881384376,0.3649560355950179,0.04268291586207518,-1.669295050457455,-1.0129095683515406,-1.2972017195404497,0.02293319891139234,-0.21678255984256367,0.4562063222978665,-3.795595664320854,-2.3593073998000467,-3.0369396497485424,-2.8582833644165637,-2.615835339924892,-2.4707309456733397,-2.27221760145223,-1.5334475327012465,-5.87295549198803,-4.315934214030249,-4.629199531335561,-4.449563866570769,-4.496319635559161,-4.31072405031626,-4.2512568930811,-3.440252772804426
8,-0.44342777411239176,-0.6120673752437717,-2.080794838499333,-2.227087409938907,-2.3240884017879484,-0.7858934700285243,-0.9842433990295945,-0.37829303866372044,0.003713762712273194,-0.06812197812071297,-1.7411361688626723,-1.5438497977513652,-1.7241833077147763,-0.14485260529193056,-0.4727554795915587,0.22175247280736166,-4.285029677071495,-2.9322637672102267,-3.545622890517721,-3.5769731741909156,-2.857518872001752,-2.397896222025611,-2.713696448601064,-1.8334964809999592,-6.598270484736091,-5.14339617113051,-5.373647279584581,-5.396445461207656,-5.018990231226209,-4.531189009161767,-4.947764484828152,-4.0108948677944065
9,-0.6972226558307266,-0.9438750553318656,-2.1757380080318782,-2.6172768748431814,-2.6713507654238615,-1.5133640573804144,-1.3064789647771367,-0.633725531843087,-0.1717643559500459,-0.31920508484032517,-1.7887271071379462,-1.8844886088432293,-1.9890654321809844,-0.7484938421964475,-0.7102859966909314,0.042240460322370055,-4.557829237910362,-3.52708326865476,-4.285155297440317,-4.154327740902641,-3.1302350041253644,-2.4518538911167784,-3.030703655379524,-2.2527213100195933,-7.119052865076425,-6.016993282714601,-6.357928951197372,-6.217816792557109,-5.526087320877519,-4.870620282083163,-5.507584867293621,-4.69381935822184
