from_max_extension,OKC_extension_only_Diff_z,OKC_flexion_only_Diff_z,OKC_extension_only_Diff_z_2,OKC_flexion_only_Diff_z_2,OKC_extension_only_Diff_z_3,OKC_flexion_only_Diff_z_3,OKC_extension_only_Diff_z_avg,OKC_flexion_only_Diff_z_avg,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_2,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_2,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_3,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_3,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_avg,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_avg,CKC_extension_only_Diff_z,CKC_flexion_only_Diff_z,CKC_extension_only_Diff_z_2,CKC_flexion_only_Diff_z_2,CKC_extension_only_Diff_z_3,CKC_flexion_only_Diff_z_3,CKC_extension_only_Diff_z_avg,CKC_flexion_only_Diff_z_avg,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_2,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_2,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_3,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_3,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_avg,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_avg
0,-5.692273222291619,-5.571224735556235,-4.763356188490779,-4.690511662574363,-4.797573876861247,-3.827028671483052,-5.692273222291619,-5.571224735556235,-5.8666688351034,-5.748654262677664,-5.082534451539878,-5.011138236464561,-5.213349686594425,-4.254267531005651,-5.8666688351034,-5.748654262677664,-2.53395366009491,-2.6107106879514346,0.2293403782742771,-1.3925805370949103,-2.848344703682593,-2.8398225974951146,-2.53395366009491,-2.6107106879514346,-2.2802354265085625,-2.3721629719373762,0.18558836261696796,-1.4598411727844167,-3.204282321343094,-3.236729282812662,-2.2802354265085625,-2.3721629719373762
1,-5.644368291309188,-5.685388897921666,-4.891424934911691,-4.910852122136501,-5.453826864032924,-3.7265444408416446,-5.644368291309188,-5.685388897921666,-5.874439608569502,-5.900218260645873,-5.25249798689474,-5.270607678582783,-5.922835457575229,-4.183756393267559,-5.874439608569502,-5.900218260645873,-2.2730331505075343,-2.5239380216384646,0.22083888603712865,-0.7405848662192701,-2.3864225809472903,-2.3768065901903137,-2.2730331505075343,-2.5239380216384646,-2.1378576222717394,-2.4182653190418013,-0.00878425830052354,-0.9850506076404254,-2.9621157044580073,-2.9663660433822026,-2.1378576222717394,-2.4182653190418013
2,-4.976548522216244,-5.973208763790706,-4.7058816020110665,-4.8880660657063855,-5.2284443578364295,-3.6594591704329202,-4.869952355353512,-5.331860213182535,-5.357388165906552,-6.239217538500834,-5.1935133152607715,-5.360793334492853,-5.8042710037555345,-4.2619899021794145,-5.2199613087232155,-5.625177887482698,-1.478593042097657,-2.379655702883455,0.5230485366768164,-0.770865635988095,-1.6061826711769012,-2.1921180895503887,-0.6246263319116899,-1.8861181199891828,-1.5066411675755553,-2.427033470572823,0.11139421686249307,-1.1554996462343676,-2.338489265761239,-2.965094211650366,-0.6605264024792937,-1.94343732167862
3,-4.605517699285562,-5.726760154433686,-4.67172666508957,-5.022873659272014,-4.67403643471453,-3.5443199770357814,-4.7648388370195,-4.8215469826844135,-5.107437965682146,-6.135949916310809,-5.248515538413413,-5.593632113641363,-5.367764944479557,-4.290175682571454,-5.191095213057104,-5.220275041966414,-0.9529827062816749,-1.9823766728730827,1.1253355180631486,-0.06604325393713238,-0.5432801150329856,-1.8713593191297602,-0.36607191012227314,-1.3614807695461764,-1.1864952999576464,-2.2010857602269054,0.5344652350351238,-0.6460301766887123,-1.464321090870621,-2.8274413145422805,-0.597639779129085,-1.5930681839336653
4,-4.58557440607598,-5.835852880193837,-4.725325027206406,-4.950534725111512,-4.2724395619492235,-3.250747836390147,-4.915094290706656,-4.816821128913956,-5.208095795381446,-6.332470529288842,-5.382520644212519,-5.58964067211478,-5.082769647824201,-4.137748698272919,-5.441481522739149,-5.292340085683084,-0.47190714595554084,-1.6927310487658862,1.6263988102878453,0.443097610197644,0.46322400516926054,-1.5034318015191661,-0.9324011043204391,-1.7678064274163654,-0.8921112005080309,-2.074581077966837,0.8978387967182262,-0.2963034315912404,-0.6130689525207149,-2.65075425262025,-1.3283331016628772,-2.155603335671289
5,-4.193621758059976,-5.703784306883897,-4.237923474333653,-4.652529472304518,-3.876599138530823,-3.1055382136276988,-4.697930926995325,-4.795372378862943,-4.9626455748342835,-6.308193267650527,-4.990872596546236,-5.383575091425816,-4.798547833131702,-4.0933696742339984,-5.33847737233441,-5.3879384278237685,0.17310948870174,-1.5697220865442945,2.2252142377297233,1.1861844705503934,1.342629527968135,-0.9120641462744493,-0.36265919139413394,-1.33752397689058,-0.4255868477676759,-2.119808037110871,1.3016449035146378,0.2912905444161578,0.11794726175198544,-2.2429605314979195,-0.9510791057301865,-1.9107347523939289
6,-3.648531089921659,-5.38967657378961,-3.760449038037539,-4.283556918036837,-3.5101069683420283,-2.8573402649525024,-4.349297517280865,-4.628177091978968,-4.572724300751411,-6.114124059718936,-4.617343595466351,-5.143045205677828,-4.5245292619830435,-3.943230426208919,-5.107669963147829,-5.33131347146839,0.9105435010691899,-1.3348675235859513,2.1065831384181752,2.594553036330968,1.750971648442883,-0.30921442308873176,0.31025321339337797,-1.027962667646232,0.12181648245924996,-2.056399303392686,1.0023030821511858,1.5417806007945594,0.385797834759128,-1.8255078399224716,-0.4396113288612542,-1.7725989822114308
7,-3.3274267868942973,-5.005717467258929,-3.5050394820383546,-3.8892630357825917,-3.068564977698054,-2.679768469233302,-3.945929941059058,-4.302998258651198,-4.3582630330236,-5.837652572479634,-4.467665693596271,-4.846886656730674,-4.183649576728471,-3.883058634914869,-4.810635092464679,-5.1196587873927895,1.2348424232357775,-0.7131232612704475,2.082896484821666,3.795315391791877,2.4177236001649245,0.17885033393175975,0.9722588486441718,-0.46609936994993806,0.26102821754858674,-1.606372428165588,0.8336198372916988,2.5715301807520103,0.9058162756838399,-1.494303943620573,0.032784010064201174,-1.380841066097237
8,-3.0331807133388473,-4.383543903419949,-3.563323999026361,-3.353446058985147,-2.5279865503522805,-2.6098599188704164,-3.556742963302403,-3.924213011694828,-4.163952642089999,-5.322876619899845,-4.631974735714866,-4.419109619372602,-3.7465379244861428,-3.921132684115755,-4.526614690229351,-4.853097166603891,1.3269248932731845,-0.2272091451648537,2.285384692306195,3.529451200856161,3.2943362839201527,1.050809142374907,1.29891067895354,0.2879706965489827,0.15881573150768555,-1.278207175299368,0.9036500256195836,2.1507251009442983,1.6414755887554895,-0.799164401856995,0.1826832870460521,-0.7957269423750196
9,-2.8221174838258194,-3.9461071477487124,-3.6532699968911735,-2.9248148086989785,-1.9087334628923587,-2.7148390054605014,-3.279087978068734,-3.564236816161269,-4.061685178851119,-4.980921960207462,-4.822558042786823,-4.101338520657406,-3.2394441350505674,-4.130753645256175,-4.3512933781434775,-4.590346347715685,1.6609193211307778,0.1129501218815161,2.692216547402243,4.028596611232994,4.339428880351073,1.9503252030266254,1.6954817779735263,0.9987337891329813,0.3050178702273849,-1.1001759591352445,1.1423251881919483,2.4875030753019924,2.5439562273444056,-0.07153920080334916,0.4188616564236897,-0.2572021032937179
