from_max_extension,OKC_extension_only_Diff_z,OKC_flexion_only_Diff_z,OKC_extension_only_Diff_z_2,OKC_flexion_only_Diff_z_2,OKC_extension_only_Diff_z_3,OKC_flexion_only_Diff_z_3,OKC_extension_only_Diff_z_avg,OKC_flexion_only_Diff_z_avg,OKC_extension_only_minus_Sensor1_z_plus_Sensor2_z,OKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z,OKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_2,OKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_2,OKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_3,OKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_3,OKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_avg,OKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_avg,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_2,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_2,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_3,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_3,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_avg,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_avg,CKC_extension_only_Diff_z,CKC_flexion_only_Diff_z,CKC_extension_only_Diff_z_2,CKC_flexion_only_Diff_z_2,CKC_extension_only_Diff_z_3,CKC_flexion_only_Diff_z_3,CKC_extension_only_Diff_z_avg,CKC_flexion_only_Diff_z_avg,CKC_extension_only_minus_Sensor1_z_plus_Sensor2_z,CKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z,CKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_2,CKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_2,CKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_3,CKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_3,CKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_avg,CKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_avg,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_2,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_2,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_3,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_3,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_avg,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_avg
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.09784042549590133,0.6641727587020188,0.4188063188831017,-0.2189048258486781,-0.7672930370747859,-0.2383623701463633,0.440963309382965,0.06238421766294788,-0.467262571583559,0.38797070884679385,0.008170510730215241,-0.4119638334169693,-1.161588832919687,-0.5580606498215293,0.13382322415655779,-0.11749167257377202,0.467262571583559,-0.38797070884679385,-0.008170510730215241,0.4119638334169693,1.161588832919687,0.5580606498215293,-0.13382322415655779,0.11749167257377202,-0.37947539005850706,-2.159491920392115,-0.3137768739696396,-0.9808788239408139,0.5667137034909406,0.28996675418584217,-0.37947539005850706,-2.159491920392115,-0.6084693467517828,-2.366707482985003,-0.5608042571547953,-1.3018688509145289,0.31815269172352556,0.02734132130728728,-0.6084693467517828,-2.366707482985003,0.6084693467517828,2.366707482985003,0.5608042571547953,1.3018688509145289,-0.31815269172352556,-0.02734132130728728,0.6084693467517828,2.366707482985003
2,0.12615953596939633,0.9145509025680605,0.08197407990907335,-0.2560786371338626,-0.900053605244659,-0.3438380507752816,-0.040041995130399854,0.007997049134759404,-0.5851911350800183,0.28199118761041575,-0.7066660056289606,-0.7757022826949029,-1.6652214462926533,-0.9798293697815268,-0.7789293656510026,-0.5816955985943189,0.5851911350800183,-0.28199118761041575,0.7066660056289606,0.7757022826949029,1.6652214462926533,0.9798293697815268,0.7789293656510026,0.5816955985943189,-1.1670243938785532,-2.921786683164406,-0.6616045381121669,-1.3687612230031432,0.5097278482281322,0.08083405618363448,-1.1670243938785532,-2.921786683164406,-1.6511928315758246,-3.3904763102171476,-1.156573878146573,-1.9581655164037448,0.10680032640793513,-0.4275067641171253,-1.6511928315758246,-3.3904763102171476,1.6511928315758246,3.3904763102171476,1.156573878146573,1.9581655164037448,-0.10680032640793513,0.4275067641171253,1.6511928315758246,3.3904763102171476
3,0.1988708748136938,0.6402698579829296,0.16286289217066452,-0.5924884812284787,-1.2049050700839046,-0.2682438528074633,-0.0899460555984608,0.08209279379425416,-0.8354385330031633,-0.2962196478931194,-1.022710831235198,-1.46524008232627,-2.3589365937342937,-1.2156714561143964,-1.207909369171924,-0.8228075355091775,0.8354385330031633,0.2962196478931194,1.022710831235198,1.46524008232627,2.3589365937342937,1.2156714561143964,1.207909369171924,0.8228075355091775,-1.831987618512321,-3.693967006780752,-0.9788528936206671,-1.9389661253776191,0.043920306561433975,-0.3132975901823625,-1.831987618512321,-3.693967006780752,-2.5573429262738183,-4.431574577955781,-1.7293539610089335,-2.836223730068795,-0.6140950110078705,-1.0483202672348275,-2.5573429262738183,-4.431574577955781,2.5573429262738183,4.431574577955781,1.7293539610089335,2.836223730068795,0.6140950110078705,1.0483202672348275,2.5573429262738183,4.431574577955781
4,0.36861169966636487,0.5929222541801398,0.4895291317387582,-0.9067570945049725,-1.075584020903365,-0.25410043954959205,-0.008007810200411303,0.08599403664670957,-1.0376168899040632,-0.6808915976490013,-1.073297758179283,-2.1013732801944176,-2.5916978010954725,-1.535167326288347,-1.4953195817993201,-1.1487924706549748,1.0376168899040632,0.6808915976490013,1.073297758179283,2.1013732801944176,2.5916978010954725,1.535167326288347,1.4953195817993201,1.1487924706549748,-2.3515259615370114,-4.0904494400481735,-1.1896499466927102,-2.1088473931341793,-0.35099367162986095,-0.7824824753801245,-3.396695930414328,-3.403934936460833,-3.30384046394893,-5.094906530946844,-2.190574914139815,-3.3120366388441402,-1.247246522197845,-1.782073271021813,-4.250143769189631,-4.2717406747768845,3.30384046394893,5.094906530946844,2.190574914139815,3.3120366388441402,1.247246522197845,1.782073271021813,4.250143769189631,4.2717406747768845
5,0.6689006585029933,0.5427819231344202,0.6514848813799214,-1.089445509645838,-0.6944078220843322,-0.24046533895418865,0.11332156902158808,-0.061614645509332266,-1.0888141648197553,-1.0423736129109322,-1.289888994007656,-2.5879643395695453,-2.5423117205680352,-1.8341790999995915,-1.7285195288368858,-1.6102250590058453,1.0888141648197553,1.0423736129109322,1.289888994007656,2.5879643395695453,2.5423117205680352,1.8341790999995915,1.7285195288368858,1.6102250590058453,-2.8563866359639984,-4.84171475888728,-1.3489664981767957,-1.9995625057718254,-0.7069718382527634,-1.2370908762863935,-3.710837991358833,-3.7788525762458094,-4.04020631709713,-6.133249356109076,-2.5923125318038487,-3.4882469534750262,-1.8258150981594086,-2.523047576086721,-4.781545406854328,-4.868037718629225,4.04020631709713,6.133249356109076,2.5923125318038487,3.4882469534750262,1.8258150981594086,2.523047576086721,4.781545406854328,4.868037718629225
6,1.1622367664570366,0.39085545585618764,0.6041371708609007,-1.2003271558147732,-0.3298929965789532,-0.3159595705381366,0.2811780067391494,-0.10981269530143889,-0.9827051986992146,-1.5221263959791216,-1.69477991102708,-3.0535597643761037,-2.524742256041721,-2.2497877431924014,-1.9144139266345146,-1.9933181084304081,0.9827051986992146,1.5221263959791216,1.69477991102708,3.0535597643761037,2.524742256041721,2.2497877431924014,1.9144139266345146,1.9933181084304081,-3.325521632394877,-5.813373644378608,-1.4492845773749043,-1.8937920055177857,-0.9405042457001733,-1.5129811375853572,-3.990803899913275,-4.499409378723927,-4.7419564768784515,-7.41129739572635,-2.910150700909374,-3.672880926212546,-2.285714153963115,-3.06019225713484,-5.272847667604898,-5.8796260439479635,4.7419564768784515,7.41129739572635,2.910150700909374,3.672880926212546,2.285714153963115,3.06019225713484,5.272847667604898,5.8796260439479635
7,1.3909370440803137,0.25446619772536305,0.570420108645564,-1.272458313554103,-0.2163456907215906,-0.4856901781085661,0.4915402474480395,-0.17573460209110525,-1.1214806908596646,-1.9973745694716545,-2.1090370770717506,-3.470238805633967,-2.7721660902328846,-2.721685099962457,-2.063708918779197,-2.3912413416679428,1.1214806908596646,1.9973745694716545,2.1090370770717506,3.470238805633967,2.7721660902328846,2.721685099962457,2.063708918779197,2.3912413416679428,-3.896928305752876,-6.451079832058855,-1.5134345915638168,-1.892768908006654,-1.0762937054165156,-1.7818064628556618,-4.45248452630235,-4.972649456426783,-5.59012972528692,-8.320616579975024,-3.203356596215663,-3.9497649715516188,-2.6378658844959877,-3.707339122301026,-5.994460403210248,-6.608435828233161,5.59012972528692,8.320616579975024,3.203356596215663,3.9497649715516188,2.6378658844959877,3.707339122301026,5.994460403210248,6.608435828233161
8,1.4886673505435333,0.133529889302332,0.5894011831613724,-1.3015823608221373,-0.2184880708103707,-0.6280665043376596,0.7001617435571106,-0.29266164279667084,-1.3457331543535638,-2.495085353922571,-2.4833311298973335,-3.8084719508161182,-3.086284204252239,-3.171466675444247,-2.235578559077931,-2.8212024366747404,1.3457331543535638,2.495085353922571,2.4833311298973335,3.8084719508161182,3.086284204252239,3.171466675444247,2.235578559077931,2.8212024366747404,-4.5335955253628,-6.796660414664366,-1.5557622088712129,-1.995261307532454,-1.1848681620140913,-2.060380606686649,-4.90209437740559,-5.434306246486034,-6.530818968676423,-8.938435614130539,-3.4956483745973355,-4.301910260350879,-2.9867402852128904,-4.317065965207387,-6.710000682357528,-7.351645912102344,6.530818968676423,8.938435614130539,3.4956483745973355,4.301910260350879,2.9867402852128904,4.317065965207387,6.710000682357528,7.351645912102344
9,1.5692901775373007,0.0604259019408282,0.44992799645693404,-1.2873142677126372,-0.26810533757137556,-0.672439126753972,0.7291899805004642,-0.38082747321347643,-1.6012899186866338,-2.891898404344671,-3.0062904139015902,-4.1348459838729585,-3.476199040968039,-3.5286469027859493,-2.5608628558059525,-3.2383370306851305,1.6012899186866338,2.891898404344671,3.0062904139015902,4.1348459838729585,3.476199040968039,3.5286469027859493,2.5608628558059525,3.2383370306851305,-5.0922642440194466,-6.899334968224113,-1.6646819525345093,-2.129930796957167,-1.2858828387223764,-2.2805901233601897,-5.277242356856121,-5.676694320560226,-7.362954981805526,-9.355167365842703,-3.8682199736963847,-4.716506722482365,-3.3447184628506323,-4.822223872547347,-7.333975863098044,-7.89615223395315,7.362954981805526,9.355167365842703,3.8682199736963847,4.716506722482365,3.3447184628506323,4.822223872547347,7.333975863098044,7.89615223395315
