from_max_extension,OKC_extension_only_Diff_z,OKC_flexion_only_Diff_z,OKC_extension_only_Diff_z_2,OKC_flexion_only_Diff_z_2,OKC_extension_only_Diff_z_3,OKC_flexion_only_Diff_z_3,OKC_extension_only_Diff_z_avg,OKC_flexion_only_Diff_z_avg,OKC_extension_only_minus_Sensor1_z_plus_Sensor2_z,OKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z,OKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_2,OKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_2,OKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_3,OKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_3,OKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_avg,OKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_avg,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_2,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_2,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_3,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_3,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_avg,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_avg,CKC_extension_only_Diff_z,CKC_flexion_only_Diff_z,CKC_extension_only_Diff_z_2,CKC_flexion_only_Diff_z_2,CKC_extension_only_Diff_z_3,CKC_flexion_only_Diff_z_3,CKC_extension_only_Diff_z_avg,CKC_flexion_only_Diff_z_avg,CKC_extension_only_minus_Sensor1_z_plus_Sensor2_z,CKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z,CKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_2,CKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_2,CKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_3,CKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_3,CKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_avg,CKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_avg,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_2,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_2,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_3,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_3,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_avg,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_avg
0,6.196420089915678,6.3471028665945015,6.972541154387977,6.765189331516042,7.959179617975977,7.470761179892115,7.042713620759877,6.861017792667553,3.7528875776244095,3.8750329104973935,4.230165052988569,4.019028752359727,5.12415570252346,4.647696034964062,4.3690694443788125,4.180585899273727,-3.7528875776244095,-3.8750329104973935,-4.230165052988569,-4.019028752359727,-5.12415570252346,-4.647696034964062,-4.3690694443788125,-4.180585899273727,-5.094422096022266,-4.996818183440168,-3.4501778541082224,-3.4501778541082224,-5.55093190909462,-5.820370313121149,-3.4501778541082224,-3.4501778541082224,-5.208487799562985,-5.121554756216031,-3.7908646752223056,-3.7908646752223056,-5.746602246024788,-6.01443673975206,-3.7908646752223056,-3.7908646752223056,5.208487799562985,5.121554756216031,3.7908646752223056,3.7908646752223056,5.746602246024788,6.01443673975206,3.7908646752223056,3.7908646752223056
1,6.479557788067275,6.640301228102723,6.780753438125408,6.640632260155553,7.6036649568701815,7.239880688574189,6.954658727687622,6.840271392277489,3.761919408552364,3.904395380761115,3.86557797642902,3.6985162126529487,4.478122213346003,4.154738628005158,4.0352065327757956,3.919216740473074,-3.761919408552364,-3.904395380761115,-3.86557797642902,-3.6985162126529487,-4.478122213346003,-4.154738628005158,-4.0352065327757956,-3.919216740473074,-5.334775722274745,-5.123727536381267,-3.303119950721401,-3.7424941464010186,-5.390675088807426,-6.226472887962356,-4.427025929908011,-4.781432229761084,-5.469937869719452,-5.277742619455672,-3.6673091461054557,-4.092606136171838,-5.5972011107156705,-6.430767359222437,-4.706955696065122,-5.053521437961949,5.469937869719452,5.277742619455672,3.6673091461054557,4.092606136171838,5.5972011107156705,6.430767359222437,4.706955696065122,5.053521437961949
2,6.614617138575716,6.294293005631041,6.885708501921644,6.376809582496632,7.336769238795341,7.431678520408494,6.945698293097567,6.700927036178722,3.6035495940745728,3.2550479100333822,3.637867624416391,3.1232677533312567,3.9016487596081455,4.015958807504097,3.7143553260330364,3.464758156956245,-3.6035495940745728,-3.2550479100333822,-3.637867624416391,-3.1232677533312567,-3.9016487596081455,-4.015958807504097,-3.7143553260330364,-3.464758156956245,-5.466069224469528,-5.458593670032016,-3.169283387495856,-4.2047069618826365,-5.32412680250184,-6.1497041653863755,-4.551460190775184,-5.142666011095053,-5.640785054101616,-5.665778556814268,-3.6004545343525045,-4.588652276075251,-5.553652423118928,-6.405271849324324,-4.802047814877053,-5.38032479717124,5.640785054101616,5.665778556814268,3.6004545343525045,4.588652276075251,5.553652423118928,6.405271849324324,4.802047814877053,5.38032479717124
3,6.763590432066306,6.494560233628546,6.7263306970352446,6.1837175561594675,7.343599636989687,7.255397839261643,6.9445069220304125,6.644558543016552,3.4559546425842402,3.1484698248854928,3.1573129722019093,2.6141086397482236,3.606529438129711,3.5182894989884335,3.40659901763862,3.0936226545407166,-3.4559546425842402,-3.1484698248854928,-3.1573129722019093,-2.6141086397482236,-3.606529438129711,-3.5182894989884335,-3.40659901763862,-3.0936226545407166,-5.747344664507737,-5.534403899691183,-3.216696494852892,-4.401772966601291,-5.161774408663788,-6.134553202589565,-4.625199673209825,-5.225068222789645,-5.975616185550962,-5.804030966761035,-3.695279186214311,-4.818165448120745,-5.4235435467836925,-6.442533845871554,-4.906289826350897,-5.50039330563358,5.975616185550962,5.804030966761035,3.695279186214311,4.818165448120745,5.4235435467836925,6.442533845871554,4.906289826350897,5.50039330563358
4,6.996587342631465,6.47269783722741,6.6981319382868865,6.082769540905608,7.385409397674161,7.1762317415972054,7.026709559530839,6.577233039910074,3.407943588435561,2.8475252048150654,2.8333458667540383,2.244597885036332,3.3387325264021968,3.1587712145612876,3.1933406605305987,2.750298101470895,-3.407943588435561,-2.8475252048150654,-2.8333458667540383,-2.244597885036332,-3.3387325264021968,-3.1587712145612876,-3.1933406605305987,-2.750298101470895,-6.043657697351043,-5.549385761733234,-3.4088893005981746,-4.500105980552357,-5.047355750552318,-6.329159086222859,-4.678910977910497,-5.364417617724645,-6.343903669712562,-5.8868086091649525,-3.9364380968565262,-4.959850287724366,-5.342637109826216,-6.702350679239581,-5.000255565913945,-5.6893875634700635,6.343903669712562,5.8868086091649525,3.9364380968565262,4.959850287724366,5.342637109826216,6.702350679239581,5.000255565913945,5.6893875634700635
5,7.216281317533225,6.157130195407363,6.799262798650491,6.4305366428424025,7.451844407696045,7.181880403405485,7.1557961746265875,6.58984908055175,3.3355671271286047,2.2712951387564204,2.6356295007463872,2.2848027009737257,3.0961322961163207,2.8810991558251344,3.0224429746637704,2.4790656651850935,-3.3355671271286047,-2.2712951387564204,-2.6356295007463872,-2.2848027009737257,-3.0961322961163207,-2.8810991558251344,-3.0224429746637704,-2.4790656651850935,-6.265051367060761,-5.515891907598031,-3.666926665359919,-4.559195861539528,-4.992617123021445,-6.449761275356147,-4.820542360139991,-5.4742529491511895,-6.648119333171465,-5.927217483287073,-4.265565669778834,-5.086504900452069,-5.325489671619296,-6.895231238910091,-5.194606321718671,-5.864295515484227,6.648119333171465,5.927217483287073,4.265565669778834,5.086504900452069,5.325489671619296,6.895231238910091,5.194606321718671,5.864295515484227
6,7.134982480026432,5.918786615251581,6.705958376159364,6.627657868465234,7.431484317990787,7.291481563974431,7.090808391392194,6.612642015897083,2.9858282975805537,1.7424049502412564,2.2353622528453654,2.199363171939942,2.7598086764339107,2.6862111901171537,2.6603330756199433,2.209326437432784,-2.9858282975805537,-1.7424049502412564,-2.2353622528453654,-2.199363171939942,-2.7598086764339107,-2.6862111901171537,-2.6603330756199433,-2.209326437432784,-6.518226740773842,-5.494015613347401,-3.8465748403237674,-4.7339079800172925,-5.03670776879201,-6.406277356681587,-4.960949886898752,-5.577685005702224,-6.986820464177575,-5.996857572136003,-4.534246532085102,-5.347387635956734,-5.430955633759904,-6.9306900733175585,-5.401213291138987,-6.04314249467726,6.986820464177575,5.996857572136003,4.534246532085102,5.347387635956734,5.430955633759904,6.9306900733175585,5.401213291138987,6.04314249467726
7,6.879815504346007,6.036303927731,6.375834692336858,6.671278601202702,7.362527750464537,7.349944600411249,6.872725982382467,6.685842376448317,2.4487458001862765,1.597574717312777,1.6322140268014493,1.953284993307876,2.417531847031632,2.4403720565516007,2.166163891339786,1.9970772557240846,-2.4487458001862765,-1.597574717312777,-1.6322140268014493,-1.953284993307876,-2.417531847031632,-2.4403720565516007,-2.166163891339786,-1.9970772557240846,-6.794383298699773,-5.506589459748257,-3.878620548145988,-4.810758271087788,-5.3032606437244265,-6.390227277317034,-5.060126561332919,-5.5776425117891355,-7.3974085467266475,-6.102793657986454,-4.660185854699284,-5.527622938236062,-5.791142931029212,-7.020864142481884,-5.579753607210217,-6.128510164946898,7.3974085467266475,6.102793657986454,4.660185854699284,5.527622938236062,5.791142931029212,7.020864142481884,5.579753607210217,6.128510164946898
8,6.682011227385951,6.309786129656531,5.9144078137863065,6.632370179720888,7.270604163553753,7.28774466510027,6.622341068242004,6.743300324825896,1.9610435221870741,1.594657024084266,0.8741897281791218,1.6414709061446633,2.045292730645915,2.1152612959048156,1.6268419936707037,1.7837964087112483,-1.9610435221870741,-1.594657024084266,-0.8741897281791218,-1.6414709061446633,-2.045292730645915,-2.1152612959048156,-1.6268419936707037,-1.7837964087112483,-6.734721020944755,-5.5302268253671345,-3.8481820917818395,-4.859661490027809,-4.954108036401325,-6.451477637799276,-5.223223158760036,-5.581301460230748,-7.4658960367807365,-6.212487701465767,-4.73971286798898,-5.68451151113637,-5.563540343766359,-7.21522498504791,-5.839225421065255,-6.234077741918085,7.4658960367807365,6.212487701465767,4.73971286798898,5.68451151113637,5.563540343766359,7.21522498504791,5.839225421065255,6.234077741918085
9,6.6893001777465,6.497942599916978,5.474684093028194,6.507607088134841,7.097418776021405,7.16037381443013,6.4204676822653655,6.721974500827316,1.690333355153068,1.5091098261469558,0.11313921113973595,1.281715254987219,1.579353474586084,1.7395894592076526,1.1276086802929626,1.5101381801139426,-1.690333355153068,-1.5091098261469558,-0.11313921113973595,-1.281715254987219,-1.579353474586084,-1.7395894592076526,-1.1276086802929626,-1.5101381801139426,-6.549919736366616,-5.573443070356023,-3.924891407767784,-4.94380181024965,-4.317386132253182,-6.503149771316456,-5.224460914289627,-5.633956302599061,-7.38903448287887,-6.375340450170575,-4.915482230429116,-5.875930480526164,-5.053616593496958,-7.40181663146873,-5.9588103736407065,-6.397983041186843,7.38903448287887,6.375340450170575,4.915482230429116,5.875930480526164,5.053616593496958,7.40181663146873,5.9588103736407065,6.397983041186843
