from_max_extension,OKC_extension_only_Diff_z,OKC_flexion_only_Diff_z,OKC_extension_only_Diff_z_2,OKC_flexion_only_Diff_z_2,OKC_extension_only_Diff_z_3,OKC_flexion_only_Diff_z_3,OKC_extension_only_Diff_z_avg,OKC_flexion_only_Diff_z_avg,OKC_extension_only_minus_Sensor1_z_plus_Sensor2_z,OKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z,OKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_2,OKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_2,OKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_3,OKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_3,OKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_avg,OKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_avg,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_2,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_2,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_3,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_3,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_avg,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_avg,CKC_extension_only_Diff_z,CKC_flexion_only_Diff_z,CKC_extension_only_Diff_z_2,CKC_flexion_only_Diff_z_2,CKC_extension_only_Diff_z_3,CKC_flexion_only_Diff_z_3,CKC_extension_only_Diff_z_avg,CKC_flexion_only_Diff_z_avg,CKC_extension_only_minus_Sensor1_z_plus_Sensor2_z,CKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z,CKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_2,CKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_2,CKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_3,CKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_3,CKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_avg,CKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_avg,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_2,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_2,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_3,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_3,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_avg,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_avg
0,2.7300790522014844,2.778677489246029,2.3716825321422057,2.263505543121084,2.2322105835284725,2.166040387254916,2.4811448178649784,2.4723589382504727,-2.506101822017475,-2.583541355366149,-2.1618676931099725,-2.1366443989472765,-2.08585768925296,-2.0332211103846616,-2.2959797556352175,-2.308381232875405,2.506101822017475,2.583541355366149,2.1618676931099725,2.1366443989472765,2.08585768925296,2.0332211103846616,2.2959797556352175,2.308381232875405,2.329965081820546,1.1999260800264646,1.5206602990192846,1.8225356711861485,1.981373096807257,1.810408010234302,1.5206602990192846,1.8225356711861485,-4.188890989939548,-3.16624439162396,-3.7682242187432213,-4.099964560058637,-3.906611337328963,-3.755312155769578,-3.7682242187432213,-4.099964560058637,4.188890989939548,3.16624439162396,3.7682242187432213,4.099964560058637,3.906611337328963,3.755312155769578,3.7682242187432213,4.099964560058637
1,3.416813830689177,2.792614516823339,2.8293428095394964,2.509562264007823,2.4353602914844408,2.032394246375962,2.926087061086809,2.4125043815996507,-3.030295908804897,-2.5095782488847136,-2.4748380367383365,-2.3757538496890143,-2.21620505269858,-1.938619467154717,-2.6232504807517385,-2.2240988580197154,3.030295908804897,2.5095782488847136,2.4748380367383365,2.3757538496890143,2.21620505269858,1.938619467154717,2.6232504807517385,2.2240988580197154,2.2353323284432935,-0.06722863748718429,1.6443618910116045,1.7438142414595386,2.136547959316948,1.7929408273151697,1.985233356546469,1.584716110573435,-3.8437724680359273,-1.639218584112273,-3.6332688888227733,-3.8563367771440906,-3.9457841839894034,-3.5467398901786065,-3.9095904053637613,-3.59263110817921,3.8437724680359273,1.639218584112273,3.6332688888227733,3.8563367771440906,3.9457841839894034,3.5467398901786065,3.9095904053637613,3.59263110817921
2,3.503606052160734,3.384189988953228,3.6606595021403794,2.911478218563283,2.791697068874833,1.9436121848997374,2.888995217725924,2.5304359056580163,-3.017055292991001,-3.0238826231537246,-3.1621172852198467,-2.6841063157007707,-2.4709193652094172,-1.8066258569423108,-2.5499474504367967,-2.322384293014437,3.017055292991001,3.0238826231537246,3.1621172852198467,2.6841063157007707,2.4709193652094172,1.8066258569423108,2.5499474504367967,2.322384293014437,1.9815065133393848,0.37851078139766303,1.3478110190254173,1.0619620640165588,2.352108228223305,1.1058999543335974,1.906563768928553,0.9292247512815147,-3.2273647054761,-1.6958273682710974,-3.0130763875595927,-2.7769095566794046,-3.7477495043116247,-2.5067714581519787,-3.6008776798616413,-2.6542893436567616,3.2273647054761,1.6958273682710974,3.0130763875595927,2.7769095566794046,3.7477495043116247,2.5067714581519787,3.6008776798616413,2.6542893436567616
3,3.2160371951984605,3.637307863337028,3.8513477151828024,3.0912115159495515,2.850907185793652,2.311542704603175,2.9654290635105363,2.8194709439826755,-2.669887539345565,-3.1991180513671047,-3.284304513076162,-2.793581821361638,-2.4508327154468,-2.109588144660483,-2.5318527638435673,-2.5614866819055337,2.669887539345565,3.1991180513671047,3.284304513076162,2.793581821361638,2.4508327154468,2.109588144660483,2.5318527638435673,2.5614866819055337,1.5761038387055746,0.7676181410690208,1.2325413707977178,0.8172731295159583,2.1836626615597603,0.8073992421640688,1.8553853707868024,0.7672279550824063,-2.4904765287997783,-1.709602968743284,-2.5192274286700616,-2.126094581824748,-3.1641560259205663,-1.793529422092314,-3.1647805461525955,-2.1095644694159414,2.4904765287997783,1.709602968743284,2.5192274286700616,2.126094581824748,3.1641560259205663,1.793529422092314,3.1647805461525955,2.1095644694159414
4,3.272555851175221,3.8099688877211118,3.903811368768345,3.4716127106436026,2.8112754396159056,3.0421224471487416,3.248163597643835,3.254523184477712,-2.665382064687743,-3.303083188077693,-3.2748698710497703,-3.1089755999495425,-2.333403621560614,-2.755697128725732,-2.720300990489401,-2.914295544168065,2.665382064687743,3.303083188077693,3.2748698710497703,3.1089755999495425,2.333403621560614,2.755697128725732,2.720300990489401,2.914295544168065,0.9172787532718876,1.2802183358636585,0.7308327380295756,1.284033208763799,1.8571742245935308,0.953245185570695,1.4968664127649702,0.9530168639989629,-1.520804191292788,-1.8613189914040797,-1.6660571461194278,-2.2241380721480635,-2.4289706471196206,-1.5148529987221915,-2.4402299002799244,-1.909090154327887,1.520804191292788,1.8613189914040797,1.6660571461194278,2.2241380721480635,2.4289706471196206,1.5148529987221915,2.4402299002799244,1.909090154327887
5,3.2927792875609705,3.4951005938605926,4.012470954319766,3.7106364810065884,2.897926498737385,4.156231008610238,3.347351167160386,3.5808477061401276,-2.6255886069374768,-2.8429141464630363,-3.293373174977816,-3.270378053953055,-2.342656342886789,-3.7375036742390964,-2.7508498209668093,-3.12466654735459,2.6255886069374768,2.8429141464630363,3.293373174977816,3.270378053953055,2.342656342886789,3.7375036742390964,2.7508498209668093,3.12466654735459,0.3501549905982763,1.7417320727377734,0.2824551069529906,2.1951266882263143,1.588141009320217,1.1763976711124933,1.0189693616061364,1.4761967365535558,-0.6136965995364729,-1.9391971516400521,-0.8461989002097883,-2.7533292411365933,-1.821880759272495,-1.347471633042316,-1.5986579128740657,-2.0431670770876216,0.6136965995364729,1.9391971516400521,0.8461989002097883,2.7533292411365933,1.821880759272495,1.347471633042316,1.5986579128740657,2.0431670770876216
6,3.3096258980999815,3.8316439375333498,4.18752641552927,3.611055054247628,2.793155104820097,4.355931760164173,3.335530790562808,3.8863961361137087,-2.5544435761769995,-2.9805123615799682,-3.3714468837542957,-3.060334703046103,-2.1592847081412154,-3.8486530454786188,-2.6628660517893286,-3.3127136690027097,2.5544435761769995,2.9805123615799682,3.3714468837542957,3.060334703046103,2.1592847081412154,3.8486530454786188,2.6628660517893286,3.3127136690027097,0.076860717105572,2.024827054015866,0.03912115646702752,2.8856451654341426,1.372603456398995,1.5517734552317082,0.659139052128507,1.9345916364281364,0.040271627913900335,-1.8527094363222842,-0.25504244560350503,-3.03712645630226,-1.245957475604549,-1.3243272651640607,-0.896873268137491,-2.107931746994876,-0.040271627913900335,1.8527094363222842,0.25504244560350503,3.03712645630226,1.245957475604549,1.3243272651640607,0.896873268137491,2.107931746994876
7,3.3162712406479926,3.6658714094227243,4.449049032686975,3.5976851067500024,2.7467442970584877,4.464562524256085,3.358495497342082,3.947023471561799,-2.4645488143847927,-2.7003435593556784,-3.5115473698711632,-2.920704304401397,-2.033629838673052,-3.8790261884325665,-2.5971839426785537,-3.2832492672471,2.4645488143847927,2.7003435593556784,3.5115473698711632,2.920704304401397,2.033629838673052,3.8790261884325665,2.5971839426785537,3.2832492672471,0.1769401474394312,1.9592256459041648,-0.2032089920396425,3.170570334885489,1.1978482411602946,1.8565813152375716,0.41541839382164153,2.2490569480443545,0.29446214082301125,-1.4252980041838903,0.31169814395459144,-2.974574038959564,-0.7022162457805563,-1.2347060242269416,-0.2979959012453524,-2.0505369134819698,-0.29446214082301125,1.4252980041838903,-0.31169814395459144,2.974574038959564,0.7022162457805563,1.2347060242269416,0.2979959012453524,2.0505369134819698
8,3.343488097514091,3.673110752973964,4.53512818075629,3.7459883044469633,3.080423594473586,4.828223630285354,3.537146035838982,4.037463145835649,-2.391820537917831,-2.5530131604151176,-3.4490008510721224,-2.937716340649568,-2.265531734974144,-4.151303505523939,-2.676266385548757,-3.25488378966172,2.391820537917831,2.5530131604151176,3.4490008510721224,2.937716340649568,2.265531734974144,4.151303505523939,2.676266385548757,3.25488378966172,0.19768725388581654,1.9985108696258889,-0.5303468107982298,3.380833049708064,1.0833006351017782,2.0384693522069717,0.28148052593383205,2.3988800036166,0.646867344718066,-1.0542156299583072,0.9880822842815276,-2.783655360909624,-0.1973139663229448,-0.9686903396000837,0.1934427264413275,-1.8145531297734852,-0.646867344718066,1.0542156299583072,-0.9880822842815276,2.783655360909624,0.1973139663229448,0.9686903396000837,-0.1934427264413275,1.8145531297734852
9,3.526050566982459,3.9351599543428897,4.501201229283286,3.898080098651458,3.3844594278939737,4.906800837440276,3.7865196758544695,4.1465486328443895,-2.4389671912195565,-2.654300689042436,-3.2644412288697886,-2.952302213473219,-2.437931627573813,-4.15819969189344,-2.796148729554844,-3.244401561779091,2.4389671912195565,2.654300689042436,3.2644412288697886,2.952302213473219,2.437931627573813,4.15819969189344,2.796148729554844,3.244401561779091,0.068704823381319,2.0615467754041186,-0.802634380771201,3.4321332573204133,0.8346159935174837,1.9326299058354781,0.15945116940546458,2.489704493051091,1.1746769201856244,-0.6982371184034172,1.6244881700043108,-2.400861066569638,0.4615729237684841,-0.43543646521862023,0.6913471827998107,-1.4745890120426763,-1.1746769201856244,0.6982371184034172,-1.6244881700043108,2.400861066569638,-0.4615729237684841,0.43543646521862023,-0.6913471827998107,1.4745890120426763
