from_max_extension,OKC_extension_only_Diff_z,OKC_flexion_only_Diff_z,OKC_extension_only_Diff_z_2,OKC_flexion_only_Diff_z_2,OKC_extension_only_Diff_z_3,OKC_flexion_only_Diff_z_3,OKC_extension_only_Diff_z_avg,OKC_flexion_only_Diff_z_avg,OKC_extension_only_minus_Sensor1_z_plus_Sensor2_z,OKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z,OKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_2,OKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_2,OKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_3,OKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_3,OKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_avg,OKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_avg,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_2,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_2,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_3,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_3,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_avg,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_avg,CKC_extension_only_Diff_z,CKC_flexion_only_Diff_z,CKC_extension_only_Diff_z_2,CKC_flexion_only_Diff_z_2,CKC_extension_only_Diff_z_3,CKC_flexion_only_Diff_z_3,CKC_extension_only_Diff_z_avg,CKC_flexion_only_Diff_z_avg,CKC_extension_only_minus_Sensor1_z_plus_Sensor2_z,CKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z,CKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_2,CKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_2,CKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_3,CKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_3,CKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_avg,CKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_avg,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_2,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_2,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_3,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_3,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_avg,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_avg
0,-11.512390882650484,-10.861667871786484,-11.406173372003154,-10.254580158009759,-11.54072443275669,-11.113849426303815,-11.486429562470109,-10.743365818700019,11.09875379432875,10.46052445304765,11.110126030113687,9.990837899476375,11.214609399358844,10.825873287247678,11.141163074600428,10.425745213257235,-11.09875379432875,-10.46052445304765,-11.110126030113687,-9.990837899476375,-11.214609399358844,-10.825873287247678,-11.141163074600428,-10.425745213257235,-2.680959137862278,-2.355131097210448,-1.4302826207303128,-1.4732115081294361,-2.014980246722561,-2.0550449511479023,-2.680959137862278,-2.355131097210448,2.2308615733648858,1.9053010336069272,1.0386960201023212,1.0848997552814876,1.656276753717834,1.6959938370803955,2.2308615733648858,1.9053010336069272,-2.2308615733648858,-1.9053010336069272,-1.0386960201023212,-1.0848997552814876,-1.656276753717834,-1.6959938370803955,-2.2308615733648858,-1.9053010336069272
1,-11.581241541078953,-10.276566113822794,-11.1587386483839,-10.016136725157923,-10.97338674845185,-10.490473331681061,-11.237788979304902,-10.261058723553925,11.15054448643215,9.892968947591516,10.830500515019365,9.743474877055444,10.647299169194241,10.202779240611266,10.876114723548584,9.946407688419407,-11.15054448643215,-9.892968947591516,-10.830500515019365,-9.743474877055444,-10.647299169194241,-10.202779240611266,-10.876114723548584,-9.946407688419407,-2.6218830342235933,-2.227790190056013,-1.0591651911512243,-1.6033287482621439,-1.9971430423376813,-2.1386932391966815,-2.022381967225489,-1.9186822164444504,2.2430110858810153,1.8244748706610006,0.6967225188448237,1.2475437327941565,1.6721787951102374,1.7824430697991773,1.6459946199003903,1.5351228210076278,-2.2430110858810153,-1.8244748706610006,-0.6967225188448237,-1.2475437327941565,-1.6721787951102374,-1.7824430697991773,-1.6459946199003903,-1.5351228210076278
2,-11.108899258261278,-9.512014830028924,-10.687362890955994,-9.254645163816697,-10.335715725609438,-9.64489215672446,-10.710659291608904,-9.47051738352336,10.685574258770655,9.134357588014426,10.318016476048669,8.974124910295663,10.010643701688185,9.392044602483052,10.338078145502504,9.166842366931048,-10.685574258770655,-9.134357588014426,-10.318016476048669,-8.974124910295663,-10.010643701688185,-9.392044602483052,-10.338078145502504,-9.166842366931048,-2.135665767597973,-2.0140564325744648,-0.9381079295602259,-1.3530281144382592,-1.9187121351111107,-1.9688364197369712,-1.7306580003622927,-1.9186928066777635,1.8199214570285918,1.656059090061256,0.6115464068985988,1.0414613583247274,1.6543446274271663,1.6329459267126645,1.396274256994551,1.56201529755153,-1.8199214570285918,-1.656059090061256,-0.6115464068985988,-1.0414613583247274,-1.6543446274271663,-1.6329459267126645,-1.396274256994551,-1.56201529755153
3,-10.80471539693246,-9.016906941070296,-10.451187253473632,-8.71730307209375,-9.80644583182091,-9.105743123002918,-10.354116160742334,-8.946651045388988,10.382849053564568,8.638453576506139,10.065634217257438,8.420923274732248,9.46819974418515,8.842705215996723,9.972227671669051,8.634027355745037,-10.382849053564568,-8.638453576506139,-10.065634217257438,-8.420923274732248,-9.46819974418515,-8.842705215996723,-9.972227671669051,-8.634027355745037,-1.865556097310861,-1.6456918539130332,-0.8045443657586994,-1.1088920298614409,-1.945254137447402,-1.2956987497253092,-1.5741253873273993,-1.6558521293627546,1.616740822414011,1.323101153808055,0.5469728672375181,0.829503481419444,1.7336976628242655,0.9668062938620717,1.2942106189132587,1.3325028129484824,-1.616740822414011,-1.323101153808055,-0.5469728672375181,-0.829503481419444,-1.7336976628242655,-0.9668062938620717,-1.2942106189132587,-1.3325028129484824
4,-10.476674296460535,-8.887387500986357,-9.938079811175202,-8.081917979716389,-9.422205356227883,-9.016840828662662,-9.945653154621207,-8.662048769788468,10.054645754616095,8.497594190922996,9.547042209502104,7.776877119242099,9.06497918185724,8.719432330934456,9.555555715325147,8.33130121369985,-10.054645754616095,-8.497594190922996,-9.547042209502104,-7.776877119242099,-9.06497918185724,-8.719432330934456,-9.555555715325147,-8.33130121369985,-1.7522451799391079,-1.2254551610340372,-0.7286267556482517,-0.9462734702656368,-1.9691357598998938,-1.3031520943191397,-1.5006812277150698,-1.2100153135402625,1.5690895316681206,0.9337962527107241,0.5213372277329649,0.6951497275086869,1.8061018639870061,0.9812542409265426,1.283253353909968,0.9100353426640799,-1.5690895316681206,-0.9337962527107241,-0.5213372277329649,-0.6951497275086869,-1.8061018639870061,-0.9812542409265426,-1.283253353909968,-0.9100353426640799
5,-10.133284843064514,-8.67644284431898,-9.16035387168384,-7.605344061165898,-9.321167682192545,-8.984229267513834,-9.5382687989803,-8.422005390999571,9.712121552235896,8.274699442192748,8.770393547577632,7.291367225171186,8.942507271828674,8.658722336892678,9.141674123880733,8.074929668085538,-9.712121552235896,-8.274699442192748,-8.770393547577632,-7.291367225171186,-8.942507271828674,-8.658722336892678,-9.141674123880733,-8.074929668085538,-1.7991280172634143,-1.0412422220935562,-0.6660104268889087,-0.9451360321778403,-1.8962457491159794,-1.5264769470285318,-1.4989635109371866,-1.0968892622261108,1.6935089112549009,0.7817847821596745,0.5044683588658301,0.7195879689389759,1.7849614204750213,1.2119022811647078,1.340316000991624,0.8193962501983013,-1.6935089112549009,-0.7817847821596745,-0.5044683588658301,-0.7195879689389759,-1.7849614204750213,-1.2119022811647078,-1.340316000991624,-0.8193962501983013
6,-9.90380628032906,-8.257508003667242,-8.636571410892115,-7.1691385146442075,-9.211044753030414,-9.006989474795983,-9.250474148083862,-8.144545331035811,9.4795695616633,7.845829552067419,8.234430030455282,6.85053413552491,8.809511018178412,8.64543899434684,8.841170203432332,7.780600893979723,-9.4795695616633,-7.845829552067419,-8.234430030455282,-6.85053413552491,-8.809511018178412,-8.64543899434684,-8.841170203432332,-7.780600893979723,-1.7962716434214667,-1.0745223970314584,-0.5845145327846257,-1.098269167298969,-1.7923826461509254,-1.8220669150010915,-1.4528426064754516,-1.18204512541261,1.7579250912337274,0.8445475682522355,0.46087041831798325,0.8968544071509861,1.7291001388080804,1.511749442838918,1.3491182901915264,0.9253459394519731,-1.7579250912337274,-0.8445475682522355,-0.46087041831798325,-0.8968544071509861,-1.7291001388080804,-1.511749442838918,-1.3491182901915264,-0.9253459394519731
7,-9.902482161278853,-7.901296834545744,-8.57797267516988,-6.791221368438167,-8.9959992067874,-9.3814072780341,-9.158818014412043,-8.024641827006004,9.46579780120582,7.482813183300132,8.134805035679708,6.457475377028311,8.57453369732423,8.972371842702444,8.725045511403252,7.6375534676769625,-9.46579780120582,-7.482813183300132,-8.134805035679708,-6.457475377028311,-8.57453369732423,-8.972371842702444,-8.725045511403252,-7.6375534676769625,-1.7446972006041594,-1.258760715503879,-0.5494064429444805,-1.1982087195576323,-1.699093874015119,-2.1142501856638134,-1.3738647931799035,-1.3930322659346466,1.7768557394202784,1.06082137851223,0.46875767224453124,1.0169051435825192,1.6760894687785641,1.805736241734728,1.3222754321821142,1.1564750761673779,-1.7768557394202784,-1.06082137851223,-0.46875767224453124,-1.0169051435825192,-1.6760894687785641,-1.805736241734728,-1.3222754321821142,-1.1564750761673779
8,-10.082205232094354,-7.573322934234003,-8.703435260116478,-6.71040577744288,-8.754243893529235,-10.012751421314555,-9.179961461913356,-8.098826710997146,9.620387910315442,7.143771368861724,8.21569273787111,6.35298577551583,8.316686033970377,9.541685885837268,8.71758889405231,7.6794810100716075,-9.620387910315442,-7.143771368861724,-8.21569273787111,-6.35298577551583,-8.316686033970377,-9.541685885837268,-8.71758889405231,-7.6794810100716075,-1.6195392057029356,-1.459316801588379,-0.5826627285601287,-1.179098885271969,-1.5854960185808247,-2.403418022989825,-1.2893465075541783,-1.5905919022699415,1.7303349166056652,1.2872965795681677,0.5412260435867449,1.0126009137502103,1.605778367064623,2.0947025857440007,1.2917273525429203,1.3699793216284715,-1.7303349166056652,-1.2872965795681677,-0.5412260435867449,-1.0126009137502103,-1.605778367064623,-2.0947025857440007,-1.2917273525429203,-1.3699793216284715
9,-10.348601215883814,-7.309295259301045,-8.778868301629478,-6.5132223139572885,-8.4712875626262,-10.559590697687304,-9.19958569337983,-8.127369423648545,9.855540361071785,6.8567267388813935,8.248073365178712,6.141525591971485,8.009513393937482,10.02292686757965,8.704375706729326,7.673726399477509,-9.855540361071785,-6.8567267388813935,-8.248073365178712,-6.141525591971485,-8.009513393937482,-10.02292686757965,-8.704375706729326,-7.673726399477509,-1.5257261981699686,-1.6362156852373861,-0.5811885115947923,-1.3398494849300935,-1.3889587151579863,-2.6083436639430486,-1.2312949817703072,-1.7395775311663932,1.685675871323017,1.486661690457166,0.5678554478198663,1.1848569952213506,1.459141979590882,2.291984008963949,1.2775600939914618,1.5313217299837925,-1.685675871323017,-1.486661690457166,-0.5678554478198663,-1.1848569952213506,-1.459141979590882,-2.291984008963949,-1.2775600939914618,-1.5313217299837925
