from_max_extension,OKC_extension_only_Diff_z,OKC_flexion_only_Diff_z,OKC_extension_only_Diff_z_2,OKC_flexion_only_Diff_z_2,OKC_extension_only_Diff_z_3,OKC_flexion_only_Diff_z_3,OKC_extension_only_Diff_z_avg,OKC_flexion_only_Diff_z_avg,OKC_extension_only_minus_Sensor1_z_plus_Sensor2_z,OKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z,OKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_2,OKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_2,OKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_3,OKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_3,OKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_avg,OKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_avg,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_2,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_2,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_3,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_3,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_avg,OKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_avg,CKC_extension_only_Diff_z,CKC_flexion_only_Diff_z,CKC_extension_only_Diff_z_2,CKC_flexion_only_Diff_z_2,CKC_extension_only_Diff_z_3,CKC_flexion_only_Diff_z_3,CKC_extension_only_Diff_z_avg,CKC_flexion_only_Diff_z_avg,CKC_extension_only_minus_Sensor1_z_plus_Sensor2_z,CKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z,CKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_2,CKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_2,CKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_3,CKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_3,CKC_extension_only_minus_Sensor1_z_plus_Sensor2_z_avg,CKC_flexion_only_minus_Sensor1_z_plus_Sensor2_z_avg,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_2,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_2,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_3,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_3,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_avg,CKC_flexion_only_minus_Sensor2_z_plus_Sensor1_z_avg
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.8028152291522153,0.3623522878114538,0.26685851586051124,-0.363856447257616,0.6390193536123241,0.3261279250045357,0.21942937810883967,-0.10070399857181211,-0.7139542294512686,-0.2634195160749475,-0.2025776747855379,0.3441984443991326,-0.5307789779453518,-0.2665697702052334,-0.20754314975602273,0.0772402473806939,0.7139542294512686,0.2634195160749475,0.2025776747855379,-0.3441984443991326,0.5307789779453518,0.2665697702052334,0.20754314975602273,-0.0772402473806939,-0.3063123150194551,-0.039687174568772576,-0.6563494073465517,-0.15346928637723956,-0.6180912778160206,0.06484214950588907,-0.5841176965899075,-0.36119500684174977,0.465671655805882,0.17769068915761466,0.967508985094284,0.5076623720113522,0.8856966894581824,0.1824633875443169,0.6928140559899063,0.46746164964361814,-0.465671655805882,-0.17769068915761466,-0.967508985094284,-0.5076623720113522,-0.8856966894581824,-0.1824633875443169,-0.6928140559899063,-0.46746164964361814
2,1.4072524320092032,0.7720747512324726,0.6801970624130054,-0.08463482154116475,1.0762478659205748,0.6353588788075117,0.7705568074464928,0.2162309572051484,-1.2434739067190927,-0.5937840626776332,-0.5177531632977868,0.145788236142943,-0.8574006538007477,-0.49424673923264595,-0.6594602810289938,-0.1525953170721559,1.2434739067190927,0.5937840626776332,0.5177531632977868,-0.145788236142943,0.8574006538007477,0.49424673923264595,0.6594602810289938,0.1525953170721559,-0.9575040073871497,-0.4324333319452176,-1.5853357510989046,-0.4881002962215879,-1.4452458458094535,0.13070787248587745,-1.2259951557666628,-0.5216527715910155,1.390615282646844,0.8298349937719127,2.19774312898088,1.1489215549125165,1.9715939498753183,0.3763149745655392,1.6188638231210506,0.9148850043669414,-1.390615282646844,-0.8298349937719127,-2.19774312898088,-1.1489215549125165,-1.9715939498753183,-0.3763149745655392,-1.6188638231210506,-0.9148850043669414
3,1.772412465208037,1.0590414020306111,1.122330820809306,0.28850756062791705,1.4405008942346778,0.898633387372376,1.2408314706356236,0.5649440752568031,-1.5427113362166676,-0.804046686466938,-0.8577687047742246,-0.14801684836227458,-1.1371318417024738,-0.659388953095019,-1.0425490832443232,-0.4156992653955811,1.5427113362166676,0.804046686466938,0.8577687047742246,0.14801684836227458,1.1371318417024738,0.659388953095019,1.0425490832443232,0.4156992653955811,-1.9474037010122665,-1.0383988954086023,-2.4606187894485583,-0.5863371727213664,-2.2568727229221297,0.33708818064005186,-2.1413420242236327,-0.8132297217002629,2.6596400525141286,1.711944197729717,3.340449231679587,1.4999121702104725,3.0054855500887374,0.4145044454852398,2.813915881178054,1.4872916623270056,-2.6596400525141286,-1.711944197729717,-3.340449231679587,-1.4999121702104725,-3.0054855500887374,-0.4145044454852398,-2.813915881178054,-1.4872916623270056
4,2.3238647674386406,1.1649854756426161,1.5649669910172341,0.7570250340330018,1.702141369655472,1.2475468782951438,1.597310363578142,0.9330766136321336,-2.0243045693534425,-0.8030904797257417,-1.199677309593975,-0.5175078273280065,-1.321614978135704,-0.8912108614203529,-1.3177588068278414,-0.6862244357557046,2.0243045693534425,0.8030904797257417,1.199677309593975,0.5175078273280065,1.321614978135704,0.8912108614203529,1.3177588068278414,0.6862244357557046,-2.8251415428601057,-1.4625838800411088,-3.4039107519136405,-0.49016202508850437,-3.4642506196030984,0.49934287271867017,-2.9962246099936856,-0.9185769060263,3.7737972094525665,2.3913842558819427,4.551728377887576,1.6719222067944477,4.483274727990631,0.5169565955744835,3.910834167794909,1.8434983771169646,-3.7737972094525665,-2.3913842558819427,-4.551728377887576,-1.6719222067944477,-4.483274727990631,-0.5169565955744835,-3.910834167794909,-1.8434983771169646
5,2.9983299580867664,1.7205294816661143,2.004245224559572,0.9275712882258647,1.9375911369071106,1.6566868074086392,2.0060371312530023,1.1616200326049215,-2.6022308205096643,-1.230632850648675,-1.541230366095334,-0.5911028135073833,-1.465958970043887,-1.185157948306746,-1.6402555673432806,-0.8084197245305624,2.6022308205096643,1.230632850648675,1.541230366095334,0.5911028135073833,1.465958970043887,1.185157948306746,1.6402555673432806,0.8084197245305624,-3.7673540484623533,-1.524053313905517,-4.296957724969518,-0.36371693564061935,-4.267110254921687,0.6940940075887463,-4.027185398243121,-0.8529234374106087,4.9779567005665415,2.742463055751455,5.750590645546156,1.8700629845456698,5.56967674672239,0.6066173559323236,5.208576772869528,2.0520120392978756,-4.9779567005665415,-2.742463055751455,-5.750590645546156,-1.8700629845456698,-5.56967674672239,-0.6066173559323236,-5.208576772869528,-2.0520120392978756
6,3.071973798627075,2.2000175992538646,2.4208000594292978,0.9127357373908023,2.0938779074780562,1.7989364475017682,2.421806063282601,1.3892727310321096,-2.5689087478517907,-1.6111696818242913,-1.857415959136849,-0.4692295760956542,-1.5168838262743911,-1.2074340178081646,-1.9552678008193611,-0.9177347922014369,2.5689087478517907,1.6111696818242913,1.857415959136849,0.4692295760956542,1.5168838262743911,1.2074340178081646,1.9552678008193611,0.9177347922014369,-4.778939363021619,-1.4310725483968412,-4.99925818148729,-0.39743444117913374,-4.965346750324518,0.5607035203104154,-4.929682705887696,-0.7148644408017306,6.285454237620654,2.9346366885687685,6.762533657268003,2.236969934371831,6.552325397908083,1.0384662297320828,6.4061640473510115,2.2120037629399993,-6.285454237620654,-2.9346366885687685,-6.762533657268003,-2.236969934371831,-6.552325397908083,-1.0384662297320828,-6.4061640473510115,-2.2120037629399993
7,3.2891593830700336,2.5985336456943164,2.534626290321677,0.8642737579905189,2.538706170963917,2.219933957191452,2.6325721749221174,1.6732806136578264,-2.6860912575092204,-1.8785650824385463,-1.8521698732825493,-0.23510518853046292,-1.8478021703443703,-1.4848686722803104,-2.052717862671963,-1.0590171582289605,2.6860912575092204,1.8785650824385463,1.8521698732825493,0.23510518853046292,1.8478021703443703,1.4848686722803104,2.052717862671963,1.0590171582289605,-5.543396474292276,-1.6580580339780546,-5.505570419189196,-0.46852335509270837,-5.327540801479441,0.2700637444896108,-5.651347393618117,-0.8462289336010835,7.339610667189272,3.4562221957497234,7.594625489420702,2.62413244254867,7.202785234167278,1.5794986736356522,7.422413411509731,2.6521175398756247,-7.339610667189272,-3.4562221957497234,-7.594625489420702,-2.62413244254867,-7.202785234167278,-1.5794986736356522,-7.422413411509731,-2.6521175398756247
8,3.8018230118155563,2.7866411691077646,2.9010087536189904,1.62518191527615,2.8019769093173177,2.5698448497886255,2.914851770286675,2.1763923124322453,-3.093079937182571,-1.9102726305158348,-2.0804253649338724,-0.8202532221141725,-1.9835099797757203,-1.713502392143466,-2.2130997995853305,-1.4194095429160005,3.093079937182571,1.9102726305158348,2.0804253649338724,0.8202532221141725,1.9835099797757203,1.713502392143466,2.2130997995853305,1.4194095429160005,-6.277271487316309,-1.8999386599386803,-5.79331612135457,-0.6493938777274106,-5.587863545037094,-0.061067158162259716,-6.185474494245071,-1.047432038832751,8.38340940529924,3.977258283061432,8.231465289226199,3.0932115342108633,7.800192501200161,2.2076742966323044,8.264530213683685,3.1351945530063317,-8.38340940529924,-3.977258283061432,-8.231465289226199,-3.0932115342108633,-7.800192501200161,-2.2076742966323044,-8.264530213683685,-3.1351945530063317
9,4.098530890432941,2.762856542870293,3.231785082014812,2.309864464566435,2.9487308393045506,2.4911663514569167,3.244916399329534,2.4410961705562535,-3.25463716195231,-1.7435934236364983,-2.2408689232532053,-1.3575316754327458,-1.9891878380518446,-1.476908644230258,-2.4041364983416,-1.5302069607435516,3.25463716195231,1.7435934236364983,2.2408689232532053,1.3575316754327458,1.9891878380518446,1.476908644230258,2.4041364983416,1.5302069607435516,-6.904367907213848,-1.9259899452372498,-5.847581218291181,-1.0326050573791186,-5.587520732413426,-0.4217645201774447,-6.577196116118593,-1.2267829423611323,9.29951038868515,4.254354326568792,8.655418893327939,3.7875781624183036,8.116222693669013,2.928843496141785,8.981312897091783,3.593311472395068,-9.29951038868515,-4.254354326568792,-8.655418893327939,-3.7875781624183036,-8.116222693669013,-2.928843496141785,-8.981312897091783,-3.593311472395068
