from_max_extention,OKC_extension_only_Diff_z,OKC_extension_only_Diff_z_2,OKC_extension_only_Diff_z_3,OKC_extension_only_Diff_z_avg,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_2,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_3,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_avg,CKC_extension_only_Diff_z,CKC_extension_only_Diff_z_2,CKC_extension_only_Diff_z_3,CKC_extension_only_Diff_z_avg,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_2,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_3,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_avg
0,-5.692273222291619,-4.763356188490779,-4.797573876861247,-5.692273222291619,-5.8666688351034,-5.082534451539878,-5.213349686594425,-5.8666688351034,-2.53395366009491,0.2293403782742771,-2.848344703682593,-2.53395366009491,-2.2802354265085625,0.18558836261696796,-3.204282321343094,-2.2802354265085625
1,-5.644368291309188,-4.891424934911691,-5.453826864032924,-5.644368291309188,-5.874439608569502,-5.25249798689474,-5.922835457575229,-5.874439608569502,-2.2730331505075343,0.22083888603712865,-2.3864225809472903,-2.2730331505075343,-2.1378576222717394,-0.00878425830052354,-2.9621157044580073,-2.1378576222717394
2,-4.976548522216244,-4.7058816020110665,-5.2284443578364295,-4.869952355353512,-5.357388165906552,-5.1935133152607715,-5.8042710037555345,-5.2199613087232155,-1.478593042097657,0.5230485366768164,-1.6061826711769012,-0.6246263319116899,-1.5066411675755553,0.11139421686249307,-2.338489265761239,-0.6605264024792937
3,-4.605517699285562,-4.67172666508957,-4.67403643471453,-4.7648388370195,-5.107437965682146,-5.248515538413413,-5.367764944479557,-5.191095213057104,-0.9529827062816749,1.1253355180631486,-0.5432801150329856,-0.36607191012227314,-1.1864952999576464,0.5344652350351238,-1.464321090870621,-0.597639779129085
4,-4.58557440607598,-4.725325027206406,-4.2724395619492235,-4.915094290706656,-5.208095795381446,-5.382520644212519,-5.082769647824201,-5.441481522739149,-0.47190714595554084,1.6263988102878453,0.46322400516926054,-0.9324011043204391,-0.8921112005080309,0.8978387967182262,-0.6130689525207149,-1.3283331016628772
5,-4.193621758059976,-4.237923474333653,-3.876599138530823,-4.697930926995325,-4.9626455748342835,-4.990872596546236,-4.798547833131702,-5.33847737233441,0.17310948870174,2.2252142377297233,1.342629527968135,-0.36265919139413394,-0.4255868477676759,1.3016449035146378,0.11794726175198544,-0.9510791057301865
6,-3.648531089921659,-3.760449038037539,-3.5101069683420283,-4.349297517280865,-4.572724300751411,-4.617343595466351,-4.5245292619830435,-5.107669963147829,0.9105435010691899,2.1065831384181752,1.750971648442883,0.31025321339337797,0.12181648245924996,1.0023030821511858,0.385797834759128,-0.4396113288612542
7,-3.3274267868942973,-3.5050394820383546,-3.068564977698054,-3.945929941059058,-4.3582630330236,-4.467665693596271,-4.183649576728471,-4.810635092464679,1.2348424232357775,2.082896484821666,2.4177236001649245,0.9722588486441718,0.26102821754858674,0.8336198372916988,0.9058162756838399,0.032784010064201174
8,-3.0331807133388473,-3.563323999026361,-2.5279865503522805,-3.556742963302403,-4.163952642089999,-4.631974735714866,-3.7465379244861428,-4.526614690229351,1.3269248932731845,2.285384692306195,3.2943362839201527,1.29891067895354,0.15881573150768555,0.9036500256195836,1.6414755887554895,0.1826832870460521
9,-2.8221174838258194,-3.6532699968911735,-1.9087334628923587,-3.279087978068734,-4.061685178851119,-4.822558042786823,-3.2394441350505674,-4.3512933781434775,1.6609193211307778,2.692216547402243,4.339428880351073,1.6954817779735263,0.3050178702273849,1.1423251881919483,2.5439562273444056,0.4188616564236897
10,-2.5374348488565586,-3.5394192101836923,-1.5444780589455736,-3.056441275193658,-3.8834686931498545,-4.806467593735584,-3.0054888731889875,-4.233031001864397,2.133225283855915,3.2205958036139593,4.791678414208729,2.0565272082016643,0.5727721272018949,1.513919675687256,2.8840700903981347,0.6207399958602021
11,-2.1862423200526684,-3.2580902407029786,-1.5722805964927289,-2.7891662890987075,-3.6423248729289868,-4.621995994108037,-3.1151357974364466,-4.070473613400651,2.922016698065144,3.8855798949035694,4.868253388331645,2.677318948544104,1.1711567935899503,2.033173480005391,2.850257115151063,1.0730994191552463
12,-1.7401529552353059,-2.76837273037391,-1.3775070805220857,-2.3961018761037858,-3.3184019171345605,-4.238317555879349,-3.006297988499574,-3.7881045486402374,3.637229586727077,4.6386271582600465,5.159570115270809,3.3840538914203964,1.7097795704243788,2.6517074221491854,3.009841927718293,1.621724944955708
13,-1.1929661641794964,-2.247157858578984,-1.1190619812108813,-1.998511487942683,-2.8966059285479595,-3.8211100159549423,-2.837690118305524,-3.5080302652816613,4.0352102395365,5.1960471658521925,5.55328919006924,4.086739671597048,1.9212644240396548,3.0881327286014795,3.306632176743603,2.166131377129817
14,-0.7217087974762366,-1.8860419624050362,-1.0431058899692767,-1.6874540414476253,-2.5433842254923538,-3.5324660395768266,-2.8282538085576867,-3.2989458596027164,4.440579973849723,5.48979050327682,5.879573524301219,4.623628515439499,2.1739474685367757,3.2788976996123766,3.550826924514006,2.5699083270280316
15,-0.5341901677816017,-1.6784819325965523,-1.2565902880466402,-1.3862850356275571,-2.4556856015032493,-3.3680495062988975,-3.093300657137173,-3.094364535319255,4.709183795193826,5.804875767722977,6.066985045808983,4.924494783125888,2.2794067980859354,3.483598169367767,3.662400680538822,2.7392655472794925
16,-0.2946464738784256,-1.5028889613034089,-1.6688602969578692,-1.0999168058314477,-2.318949994781923,-3.233251290869017,-3.527592294425864,-2.8963687175547577,5.32509552982261,6.1436024448764694,6.1835903965816215,5.3248187161234135,2.7242380892204068,3.7110765363546836,3.709209427312059,3.004325905517026
17,-0.14348143153152026,-1.3086949938464247,-2.1483759069610877,-0.9550230846991165,-2.2687726063474796,-3.082222130527766,-3.995972403579227,-2.8216919737346884,6.122738785675548,6.544478820140559,6.373689312204281,5.826967914489255,3.375583124826589,4.01770520868114,3.80142340625407,3.388604490312653
18,0.06583790137776606,-1.2669540655366678,-2.1978800758768617,-0.8978804493240943,-2.156277904571285,-3.060828675630714,-4.045350987524063,-2.827609950859158,6.807346346098981,6.839798115493048,6.622019730346937,6.2768407717588905,3.9363909763636133,4.224541597399044,3.9719790287020214,3.7327648124107675
19,0.4603207899917443,-1.2082557347595473,-1.9502960322842968,-0.8390781669375166,-1.8481117174520159,-3.0245368790828833,-3.8094359044097885,-2.819308714135215,7.313992938445265,7.015147830613413,6.987789499257707,6.64181893479827,4.327867196356975,4.322700085056736,4.272098383831758,4.002657695192313
20,0.8070605427082223,-0.9160759264084435,-1.5781842892724347,-0.8694231432631777,-1.5488219314864646,-2.757871303151886,-3.453301941815039,-2.8685410035654684,7.724823310061478,7.334994925987335,7.414439065965981,6.916070607378717,4.630554271426192,4.556840567814674,4.648388185265279,4.188101765379098
21,1.274040959498187,-0.48211704097182206,-0.9455112420006682,-0.7106982837127407,-1.1448513664038094,-2.3328617946621923,-2.8203967387093973,-2.7382464110035856,8.119986094726984,7.855639448195754,7.914289617555136,7.169607745848226,4.916446392679651,4.992506467332801,5.1132909714314465,4.346856627996819
22,1.4898434110912557,-0.09121975501727686,-0.2727701017919255,-0.45884284920049484,-0.9727313754304667,-1.9441170929908278,-2.095151041457056,-2.5133461943307136,8.537299035493913,8.48323843923037,8.419793484147643,7.498104563942728,5.2352681979620375,5.535146744342551,5.57913555968123,4.588029264826244
