from_max_extention,OKC_extension_only_Diff_z,OKC_extension_only_Diff_z_2,OKC_extension_only_Diff_z_3,OKC_extension_only_Diff_z_avg,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_2,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_3,OKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_avg,CKC_extension_only_Diff_z,CKC_extension_only_Diff_z_2,CKC_extension_only_Diff_z_3,CKC_extension_only_Diff_z_avg,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_2,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_3,CKC_extension_only_minus_Sensor2_z_plus_Sensor1_z_avg
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.04790493098243065,-0.1280687464209116,-0.6562529871716771,0.04790493098243065,-0.007770773466101666,-0.16996353535486186,-0.7094857709808045,-0.007770773466101666,0.2609205095873759,-0.008501492237148467,0.46192212273530275,0.2609205095873759,0.1423778042368231,-0.1943726209174915,0.24216661688508667,0.1423778042368231
2,0.7157247000753753,0.05747458647971282,-0.4308704809751829,0.8223208669381075,0.5092806691968486,-0.11097886372089327,-0.5909213171611096,0.6467075263801849,1.0553606179972532,0.2937081584025393,1.242162032505692,1.9093273281832204,0.7735942589330072,-0.07419414575447489,0.8657930555818552,1.6197090240292686
3,1.0867555230060573,0.09162952340120967,0.12353744214671636,0.927434385272119,0.7592308694212546,-0.16598108687353452,-0.1544152578851321,0.6755736220462962,1.5809709538132353,0.8959951397888715,2.3050645886496075,2.1678817499726373,1.0937401265509161,0.3488768724181558,1.739961230472473,1.6825956473794776
4,1.1066988162156388,0.03803116128437356,0.5251343149120231,0.7771789315849631,0.6585730397219542,-0.29998619267264104,0.13058003877022362,0.4251873123642511,2.0620465141393693,1.3970584320135682,3.3115687088518535,1.6015525557744712,1.3881242260005315,0.7122504341012582,2.591213368822379,0.9519023248456853
5,1.498651464231643,0.5254327141571267,0.9209747383304236,0.9943422952962937,0.904023260269117,0.09166185499364232,0.41480185346272247,0.5281914627689908,2.7070631487966503,1.9958738594554462,4.190974231650728,2.1712944687007765,1.8546485787408866,1.11605654089767,3.3222295830950794,1.329156320778376
6,2.04374213236996,1.0029071504532405,1.2874669085192183,1.3429757050107538,1.293944534351989,0.4651908560735274,0.6888204246113814,0.7589988719555718,3.4444971611641,1.8772427601438981,4.599316352125476,2.844206873488288,2.4020519089678123,0.8167147195342178,3.590080156102222,1.8406240976473083
7,2.3648464353973218,1.2583167064524248,1.7290088991631927,1.7463432812325612,1.5084058020798006,0.614868757943607,1.0297001098659537,1.0560337426387214,3.7687960833306877,1.8535561065473887,5.266068303847518,3.506212508739082,2.541263644057149,0.6480314746747308,4.1100985970269335,2.3130194365727634
8,2.6590925089527717,1.2000321894644181,2.269587326508966,2.135530258989216,1.7027161930134014,0.45055971582501186,1.4668117621082821,1.340054144874049,3.860878553368095,2.056044314031918,6.142680987602746,3.8328643390484505,2.439051158016248,0.7180616630026156,4.845757910098584,2.4629187135546147
9,2.8701557384657996,1.1100861915996059,2.8888404139688877,2.413185244222885,1.8049836562522819,0.2599764087530554,1.9739055515438575,1.515375456959923,4.1948729812256875,2.4628761691279655,7.187773584033666,4.229435438068436,2.5852532967359476,0.9567368255749803,5.7482385486875,2.6990970829322523
